Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
LGBMClassifier,0.9503676470588235,0.9487811731647348,0.9487811731647349,0.9503859383745636,4.000654697418213
XGBClassifier,0.9466911764705882,0.9449596066034422,0.9449596066034422,0.9467108226986052,3.706101179122925
ExtraTreesClassifier,0.9430147058823529,0.9433719704952581,0.9433719704952582,0.9431527204867304,0.6192381381988525
LinearSVC,0.9448529411764706,0.9389532841587636,0.9389532841587637,0.9446264805837373,15.508018970489502
QuadraticDiscriminantAnalysis,0.9227941176470589,0.9353846153846154,0.9353846153846154,0.9235052244582045,0.44034385681152344
LogisticRegression,0.9393382352941176,0.9350825430277485,0.9350825430277485,0.9392195276114783,0.15569591522216797
RandomForestClassifier,0.9246323529411765,0.9257534246575343,0.9257534246575342,0.9249068603360705,3.6525800228118896
CalibratedClassifierCV,0.9319852941176471,0.9199929750614682,0.9199929750614682,0.9311862692346242,60.72931098937988
KNeighborsClassifier,0.9227941176470589,0.9152792413066386,0.9152792413066386,0.9224064620529289,0.07323098182678223
PassiveAggressiveClassifier,0.9099264705882353,0.9059992975061468,0.9059992975061468,0.9098925925282639,0.32989025115966797
SVC,0.9136029411764706,0.9038637161924834,0.9038637161924834,0.9129595945006398,1.890092134475708
BaggingClassifier,0.8988970588235294,0.9019810326659642,0.9019810326659642,0.8994766090555766,11.849626064300537
SGDClassifier,0.8988970588235294,0.8945345978222691,0.8945345978222691,0.8988590324296841,0.24111199378967285
Perceptron,0.8970588235294118,0.8944854232525465,0.8944854232525464,0.8972059173752855,0.19263911247253418
RidgeClassifierCV,0.8933823529411765,0.8750263435194943,0.8750263435194943,0.8912623974008208,0.49591708183288574
RidgeClassifier,0.8897058823529411,0.8712047769582016,0.8712047769582016,0.8875128248974008,0.11458301544189453
LabelPropagation,0.8511029411764706,0.8701721109940288,0.8701721109940288,0.8524244363948048,0.1542210578918457
LabelSpreading,0.8511029411764706,0.8701721109940288,0.8701721109940288,0.8524244363948048,0.18773603439331055
LinearDiscriminantAnalysis,0.8860294117647058,0.867383210396909,0.867383210396909,0.8837632523939808,0.5419948101043701
DecisionTreeClassifier,0.8676470588235294,0.8646575342465753,0.8646575342465753,0.8679247844848869,1.9011530876159668
AdaBoostClassifier,0.8676470588235294,0.8631682472778364,0.8631682472778363,0.8677436125965537,14.390609979629517
ExtraTreeClassifier,0.8621323529411765,0.8548296452406041,0.8548296452406041,0.8618625627533598,0.06566023826599121
NuSVC,0.8345588235294118,0.825795574288725,0.8257955742887249,0.8341665172166428,2.5229458808898926
GaussianNB,0.8290441176470589,0.8204355461889707,0.8204355461889709,0.828709577814166,0.07808780670166016
BernoulliNB,0.7720588235294118,0.7883807516684229,0.7883807516684229,0.7740588778602595,0.08770895004272461
NearestCentroid,0.7757352941176471,0.7601826484018265,0.7601826484018265,0.7739511523172142,0.1072847843170166
DummyClassifier,0.5974264705882353,0.5,0.5,0.4468667501523049,0.06062006950378418
