Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
LGBMClassifier,0.9656607700312175,0.9687751946807804,0.9687751946807804,0.9658625040838903,5.446829795837402
XGBClassifier,0.9562955254942768,0.9555008583975946,0.9555008583975946,0.9564360606411341,5.494499921798706
SVC,0.9032258064516129,0.9192015479611871,0.9192015479611871,0.9049408481034883,5.512730836868286
ExtraTreesClassifier,0.8969823100936525,0.8982727712488974,0.8982727712488973,0.8979693893190458,1.732820987701416
NearestCentroid,0.8449531737773153,0.8788829449202782,0.8788829449202782,0.8483833184827262,0.12917685508728027
BaggingClassifier,0.8834547346514048,0.8777565944853882,0.8777565944853883,0.8840389433804471,32.77734994888306
NuSVC,0.8459937565036421,0.8749893293116695,0.8749893293116694,0.8493968709862204,7.957316160202026
GaussianNB,0.8428720083246618,0.8745909569473295,0.8745909569473295,0.8463557546002132,0.12757086753845215
RandomForestClassifier,0.8855359001040582,0.8713114987337449,0.8713114987337449,0.8851355288218676,9.629141092300415
RidgeClassifierCV,0.858480749219563,0.8624903963805025,0.8624903963805025,0.8604343315956485,0.7140471935272217
RidgeClassifier,0.858480749219563,0.8624903963805025,0.8624903963805025,0.8604343315956485,0.17547392845153809
LinearDiscriminantAnalysis,0.858480749219563,0.8624903963805025,0.8624903963805025,0.8604343315956485,0.6493680477142334
BernoulliNB,0.8303850156087409,0.8515233000407858,0.8515233000407858,0.8340075184047969,0.1672651767730713
AdaBoostClassifier,0.854318418314256,0.8404850657788654,0.8404850657788654,0.854318418314256,16.4046630859375
LogisticRegression,0.8563995837669095,0.838066376423944,0.838066376423944,0.855684772378234,0.28865599632263184
PassiveAggressiveClassifier,0.841831425598335,0.8288255603297006,0.8288255603297005,0.8421418633099049,1.1377909183502197
CalibratedClassifierCV,0.8470343392299687,0.8214367014768233,0.8214367014768233,0.8450977194749594,10.79927396774292
LinearSVC,0.8335067637877211,0.818368285765776,0.818368285765776,0.8336175542570202,5.601047992706299
SGDClassifier,0.8439125910509886,0.8123144485862523,0.8123144485862525,0.8407145194035505,0.9239680767059326
DecisionTreeClassifier,0.8335067637877211,0.8103154729723321,0.8103154729723321,0.8321615801685533,4.296041965484619
Perceptron,0.8220603537981269,0.7893938100522626,0.7893938100522626,0.818672466777548,0.5540339946746826
ExtraTreeClassifier,0.7741935483870968,0.738323895702321,0.7383238957023209,0.7703203465458989,0.1072700023651123
KNeighborsClassifier,0.7523413111342352,0.6838630737273426,0.6838630737273426,0.733880690167626,0.234177827835083
LabelSpreading,0.35275754422476585,0.5,0.5,0.1839766269110702,0.4547572135925293
LabelPropagation,0.35275754422476585,0.5,0.5,0.1839766269110702,0.5151050090789795
QuadraticDiscriminantAnalysis,0.6472424557752341,0.5,0.5,0.5086352589920349,0.8380341529846191
DummyClassifier,0.6472424557752341,0.5,0.5,0.5086352589920349,0.09005284309387207
