Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
RandomForestClassifier,0.7904411764705882,0.7904411764705883,0.7904411764705883,0.7839916405433647,1.1658480167388916
LGBMClassifier,0.7830882352941176,0.7830882352941176,0.7830882352941175,0.7789988294429525,1.0600130558013916
XGBClassifier,0.7830882352941176,0.7830882352941176,0.7830882352941175,0.7794362209486112,0.9701511859893799
AdaBoostClassifier,0.7794117647058824,0.7794117647058824,0.7794117647058825,0.7716971630015108,3.6777610778808594
NuSVC,0.7757352941176471,0.7757352941176471,0.7757352941176471,0.763858645375233,0.33452916145324707
ExtraTreesClassifier,0.7720588235294118,0.7720588235294117,0.7720588235294117,0.7670203359858533,0.26866984367370605
KNeighborsClassifier,0.7683823529411765,0.7683823529411764,0.7683823529411764,0.7644827444027543,0.024975061416625977
ExtraTreeClassifier,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.7636709204452892,0.0226593017578125
SVC,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.7509157509157509,0.3377819061279297
DecisionTreeClassifier,0.7573529411764706,0.7573529411764706,0.7573529411764706,0.7571428571428571,0.9071948528289795
BaggingClassifier,0.7573529411764706,0.7573529411764706,0.7573529411764706,0.7562856367092045,3.422530174255371
PassiveAggressiveClassifier,0.7352941176470589,0.7352941176470589,0.7352941176470587,0.7350649350649351,0.12830305099487305
RidgeClassifierCV,0.7205882352941176,0.7205882352941176,0.7205882352941176,0.7183958151700087,0.13114595413208008
LogisticRegression,0.7205882352941176,0.7205882352941176,0.7205882352941176,0.7198460454274408,0.03537893295288086
CalibratedClassifierCV,0.7095588235294118,0.7095588235294118,0.7095588235294117,0.6989759466539652,3.5617992877960205
Perceptron,0.6948529411764706,0.6948529411764706,0.6948529411764707,0.6943530590417394,0.053822994232177734
SGDClassifier,0.6875,0.6875,0.6875,0.6862745098039216,0.12623906135559082
RidgeClassifier,0.6838235294117647,0.6838235294117647,0.6838235294117647,0.6827256944444444,0.03455305099487305
LinearDiscriminantAnalysis,0.6801470588235294,0.6801470588235294,0.6801470588235294,0.6797964899936403,0.13074016571044922
LinearSVC,0.6507352941176471,0.6507352941176471,0.6507352941176471,0.6505038209237843,3.401365041732788
GaussianNB,0.6360294117647058,0.6360294117647058,0.636029411764706,0.6342447333034514,0.024429798126220703
NearestCentroid,0.5992647058823529,0.5992647058823529,0.5992647058823529,0.5986082341632483,0.02303004264831543
BernoulliNB,0.5772058823529411,0.5772058823529411,0.5772058823529411,0.5772001676060716,0.02781963348388672
LabelSpreading,0.5330882352941176,0.5330882352941176,0.5330882352941176,0.41789259053300304,0.03911900520324707
LabelPropagation,0.5330882352941176,0.5330882352941176,0.5330882352941176,0.41789259053300304,0.03490185737609863
QuadraticDiscriminantAnalysis,0.5,0.5,0.5,0.3333333333333333,0.10332179069519043
DummyClassifier,0.5,0.5,0.5,0.3333333333333333,0.020127058029174805
