Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
ExtraTreeClassifier,0.6455026455026455,0.540707467714767,0.540707467714767,0.6397271916985179,0.017565011978149414
ExtraTreesClassifier,0.7301587301587301,0.5096153846153846,0.5096153846153846,0.6215016011242426,0.18743515014648438
LGBMClassifier,0.7195767195767195,0.5023161145423919,0.5023161145423919,0.6159313911635893,0.7071361541748047
AdaBoostClassifier,0.6666666666666666,0.5016142616507581,0.501614261650758,0.623175274338065,1.5866150856018066
DummyClassifier,0.7248677248677249,0.5,0.5,0.6092446521894375,0.015665054321289062
CalibratedClassifierCV,0.7248677248677249,0.5,0.5,0.6092446521894375,0.3271760940551758
SVC,0.7248677248677249,0.5,0.5,0.6092446521894375,0.23237299919128418
LabelPropagation,0.7248677248677249,0.5,0.5,0.6092446521894375,0.024964094161987305
LabelSpreading,0.7248677248677249,0.5,0.5,0.6092446521894375,0.024801969528198242
RandomForestClassifier,0.7248677248677249,0.5,0.5,0.6092446521894375,0.9947879314422607
XGBClassifier,0.7142857142857143,0.4986664795058956,0.49866647950589554,0.6131322094055014,0.5688467025756836
DecisionTreeClassifier,0.5925925925925926,0.4982453677709152,0.49824536777091516,0.5960488888377979,0.7135763168334961
SGDClassifier,0.6931216931216931,0.4959994385176867,0.4959994385176867,0.6167686111953629,0.035008907318115234
LinearSVC,0.5873015873015873,0.49459573273441887,0.49459573273441887,0.5918871252204586,0.12289595603942871
KNeighborsClassifier,0.6613756613756614,0.4919988770353734,0.4919988770353733,0.6146953107566562,0.04167485237121582
LogisticRegression,0.6349206349206349,0.49164795058955646,0.49164795058955646,0.609915791572386,0.022778987884521484
GaussianNB,0.6349206349206349,0.49164795058955646,0.49164795058955646,0.609915791572386,0.018809795379638672
BaggingClassifier,0.7037037037037037,0.4913672094329029,0.49136720943290285,0.6075031928480203,3.1912691593170166
NearestCentroid,0.5555555555555556,0.49059517125210556,0.49059517125210556,0.5714039621016365,0.019032001495361328
PassiveAggressiveClassifier,0.6031746031746031,0.48764738910724315,0.48764738910724315,0.5967095429461021,0.0666189193725586
BernoulliNB,0.6031746031746031,0.48764738910724315,0.48764738910724315,0.5967095429461021,0.022160053253173828
Perceptron,0.6031746031746031,0.48168163952835485,0.4816816395283548,0.5937988261061233,0.03770899772644043
RidgeClassifier,0.5291005291005291,0.4604154969118473,0.4604154969118472,0.5466057478791826,0.02528524398803711
LinearDiscriminantAnalysis,0.5343915343915344,0.44616788321167883,0.44616788321167883,0.5459946161700547,0.10183978080749512
RidgeClassifierCV,0.5238095238095238,0.4269371139809096,0.42693711398090955,0.5336555674901539,0.07722806930541992
QuadraticDiscriminantAnalysis,0.291005291005291,0.37373666479505896,0.37373666479505896,0.2857640666780451,0.08453607559204102
