Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
AdaBoostClassifier,0.6313559322033898,0.6157474600870827,0.6157474600870827,0.6217952790090038,5.018196105957031
NearestCentroid,0.614406779661017,0.6116835994194485,0.6116835994194485,0.6148464208316143,0.11098694801330566
Perceptron,0.614406779661017,0.6099419448476052,0.6099419448476052,0.6142317359808862,0.06045031547546387
GaussianNB,0.6059322033898306,0.6005079825834543,0.6005079825834543,0.6053515005767712,0.03172016143798828
ExtraTreesClassifier,0.614406779661017,0.6003628447024674,0.6003628447024674,0.6066137407695772,0.3892819881439209
BernoulliNB,0.6016949152542372,0.5984034833091436,0.5984034833091436,0.6020123358100732,0.04211568832397461
RandomForestClassifier,0.6101694915254238,0.5956458635703918,0.595645863570392,0.6017584047378393,1.8695783615112305
LinearSVC,0.5932203389830508,0.5941944847605225,0.5941944847605225,0.5942747793485902,1.141317367553711
BaggingClassifier,0.597457627118644,0.5928156748911466,0.5928156748911466,0.5972748892108154,5.108642816543579
LogisticRegression,0.597457627118644,0.5928156748911466,0.5928156748911466,0.5972748892108154,0.060222625732421875
XGBClassifier,0.6016949152542372,0.5879535558780842,0.5879535558780842,0.5941718703538508,2.8288931846618652
LGBMClassifier,0.6016949152542372,0.5844702467343976,0.5844702467343976,0.5894695602468834,0.5383305549621582
RidgeClassifierCV,0.5847457627118644,0.5812772133526851,0.5812772133526851,0.5850766905253955,0.6998083591461182
DecisionTreeClassifier,0.5847457627118644,0.5804063860667634,0.5804063860667634,0.5847457627118644,0.8772244453430176
SVC,0.5889830508474576,0.5694484760522496,0.5694484760522497,0.5727281432538542,0.2394263744354248
RidgeClassifier,0.5720338983050848,0.5688679245283019,0.5688679245283019,0.5725218516922311,0.10415363311767578
LinearDiscriminantAnalysis,0.5677966101694916,0.5650217706821481,0.5650217706821481,0.5684219044256121,1.281376838684082
NuSVC,0.5677966101694916,0.5571843251088534,0.5571843251088533,0.5635583847881263,0.2825934886932373
ExtraTreeClassifier,0.559322033898305,0.5503628447024673,0.5503628447024673,0.5565748665262006,0.030383586883544922
PassiveAggressiveClassifier,0.5338983050847458,0.5333817126269956,0.5333817126269956,0.5350740571079554,0.08868837356567383
SGDClassifier,0.5338983050847458,0.5281567489114659,0.528156748911466,0.5334577873069268,0.2600576877593994
CalibratedClassifierCV,0.5635593220338984,0.515021770682148,0.515021770682148,0.42605180888668376,4.109616279602051
DummyClassifier,0.5508474576271186,0.5,0.5,0.3913124015930351,0.026621341705322266
LabelSpreading,0.4491525423728814,0.5,0.5,0.27842204381009017,0.19243144989013672
LabelPropagation,0.4491525423728814,0.5,0.5,0.27842204381009017,0.07655143737792969
QuadraticDiscriminantAnalysis,0.5508474576271186,0.5,0.5,0.3913124015930351,0.780132532119751
KNeighborsClassifier,0.5084745762711864,0.4920174165457184,0.49201741654571846,0.4964627135212154,0.05580735206604004
