Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
ExtraTreeClassifier,0.5677966101694916,0.5535294117647059,0.5535294117647058,0.565777117952676,0.028116226196289062
QuadraticDiscriminantAnalysis,0.5338983050847458,0.5320588235294117,0.5320588235294117,0.5364984521910614,0.5233912467956543
RidgeClassifierCV,0.5423728813559322,0.5314705882352941,0.5314705882352941,0.5423728813559322,0.2935974597930908
RandomForestClassifier,0.5423728813559322,0.5288235294117647,0.5288235294117647,0.5410193554208714,0.9587626457214355
RidgeClassifier,0.5423728813559322,0.5288235294117647,0.5288235294117647,0.5410193554208714,0.03848409652709961
AdaBoostClassifier,0.5338983050847458,0.5267647058823529,0.5267647058823529,0.5354294078127686,2.6119003295898438
LinearDiscriminantAnalysis,0.5338983050847458,0.5267647058823529,0.5267647058823529,0.5354294078127686,0.5897092819213867
XGBClassifier,0.5169491525423728,0.5067647058823529,0.5067647058823529,0.517551416158565,1.896620512008667
BaggingClassifier,0.5,0.5026470588235294,0.5026470588235294,0.5027747747747748,2.2140731811523438
LabelPropagation,0.423728813559322,0.5,0.5,0.25221953188054885,0.04691338539123535
DummyClassifier,0.576271186440678,0.5,0.5,0.42135957718243117,0.03368186950683594
LabelSpreading,0.423728813559322,0.5,0.5,0.25221953188054885,0.042443275451660156
NearestCentroid,0.4915254237288136,0.48735294117647054,0.48735294117647054,0.4941821849400998,0.03130316734313965
PassiveAggressiveClassifier,0.4915254237288136,0.4847058823529412,0.48470588235294115,0.49359962071826474,0.06127786636352539
KNeighborsClassifier,0.4915254237288136,0.4847058823529412,0.48470588235294115,0.49359962071826474,0.05190157890319824
LGBMClassifier,0.5,0.48411764705882354,0.4841176470588236,0.4976637246903508,0.2908799648284912
Perceptron,0.4830508474576271,0.47735294117647054,0.47735294117647054,0.48549371877098624,0.041008949279785156
GaussianNB,0.4915254237288136,0.4767647058823529,0.47676470588235287,0.49002150602319045,0.029088973999023438
NuSVC,0.4745762711864407,0.47,0.47,0.4773215911047699,0.1617875099182129
SGDClassifier,0.4830508474576271,0.46941176470588236,0.4694117647058824,0.4823266688910633,0.13024139404296875
CalibratedClassifierCV,0.5254237288135594,0.4585294117647059,0.4585294117647059,0.4095837246107474,2.3694674968719482
SVC,0.4915254237288136,0.4555882352941176,0.4555882352941176,0.4654332851935167,0.09095382690429688
LogisticRegression,0.4661016949152542,0.45205882352941174,0.45205882352941174,0.465353772789131,0.11415553092956543
ExtraTreesClassifier,0.4491525423728814,0.44529411764705884,0.44529411764705884,0.4522254434985271,0.274554967880249
LinearSVC,0.4491525423728814,0.4426470588235294,0.4426470588235294,0.45175560196908365,0.6790051460266113
DecisionTreeClassifier,0.423728813559322,0.4338235294117647,0.4338235294117647,0.423728813559322,0.4307987689971924
BernoulliNB,0.4406779661016949,0.4273529411764706,0.4273529411764705,0.4406779661016949,0.03283095359802246
