Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
Perceptron,0.708994708994709,0.5605128205128205,0.5605128205128206,0.7103498837125695,0.049719810485839844
LogisticRegression,0.656084656084656,0.5556410256410257,0.5556410256410257,0.6765264161581811,0.11678838729858398
BernoulliNB,0.5608465608465608,0.5525641025641026,0.5525641025641025,0.6026164753121275,0.03909635543823242
DecisionTreeClassifier,0.671957671957672,0.5466666666666666,0.5466666666666666,0.6849405383888142,1.18849778175354
RidgeClassifier,0.6296296296296297,0.538974358974359,0.538974358974359,0.6557154276578737,0.05291891098022461
NearestCentroid,0.49206349206349204,0.5376923076923077,0.5376923076923077,0.5368335368335369,0.10986685752868652
LinearSVC,0.5925925925925926,0.5346153846153846,0.5346153846153846,0.6279762908976393,0.8725299835205078
SGDClassifier,0.6349206349206349,0.5328205128205128,0.5328205128205128,0.6583332896573533,0.24139833450317383
LinearDiscriminantAnalysis,0.6084656084656085,0.5256410256410257,0.5256410256410257,0.6388309581740239,1.010202169418335
AdaBoostClassifier,0.7724867724867724,0.5246153846153846,0.5246153846153847,0.7216554307757762,4.427882671356201
LGBMClassifier,0.7671957671957672,0.5117948717948718,0.5117948717948717,0.711947348044909,0.47855329513549805
PassiveAggressiveClassifier,0.6613756613756614,0.5115384615384615,0.5115384615384615,0.6700140373609761,0.10536551475524902
BaggingClassifier,0.7513227513227513,0.5112820512820513,0.5112820512820514,0.7081804332578326,7.91821551322937
KNeighborsClassifier,0.7354497354497355,0.5107692307692308,0.5107692307692308,0.7032544674054108,0.05969548225402832
RidgeClassifierCV,0.6402116402116402,0.5076923076923077,0.5076923076923077,0.6567019400352734,0.4860503673553467
CalibratedClassifierCV,0.7936507936507936,0.5,0.5,0.7023458350891979,3.46810245513916
DummyClassifier,0.7936507936507936,0.5,0.5,0.7023458350891979,0.0314335823059082
SVC,0.7936507936507936,0.5,0.5,0.7023458350891979,0.19389605522155762
LabelPropagation,0.7936507936507936,0.5,0.5,0.7023458350891979,0.0634918212890625
QuadraticDiscriminantAnalysis,0.7936507936507936,0.5,0.5,0.7023458350891979,0.649630069732666
LabelSpreading,0.7936507936507936,0.5,0.5,0.7023458350891979,0.1670079231262207
XGBClassifier,0.746031746031746,0.4984615384615385,0.49846153846153846,0.6990005878894768,2.104466676712036
ExtraTreesClassifier,0.783068783068783,0.49333333333333335,0.49333333333333335,0.6970938721680562,0.3652071952819824
RandomForestClassifier,0.7724867724867724,0.4866666666666667,0.4866666666666667,0.6917791992418858,2.2482926845550537
NuSVC,0.7354497354497355,0.4823076923076923,0.4823076923076923,0.686458945718205,0.2071232795715332
GaussianNB,0.5079365079365079,0.48128205128205126,0.48128205128205126,0.5548320404172585,0.03514528274536133
ExtraTreeClassifier,0.6137566137566137,0.4625641025641025,0.4625641025641025,0.630274934384417,0.03252720832824707
