Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
NearestCentroid,0.6388888888888888,0.5836120401337793,0.5836120401337792,0.6263925860199152,0.02883458137512207
BernoulliNB,0.6388888888888888,0.5668896321070234,0.5668896321070234,0.6136009959539371,0.02464127540588379
Perceptron,0.6111111111111112,0.5618729096989966,0.5618729096989966,0.6030092592592593,0.02623748779296875
LinearDiscriminantAnalysis,0.6388888888888888,0.5501672240802675,0.5501672240802675,0.5962153812203465,0.13372445106506348
DecisionTreeClassifier,0.6388888888888888,0.5501672240802675,0.5501672240802675,0.5962153812203465,0.07864809036254883
ExtraTreesClassifier,0.6666666666666666,0.5384615384615384,0.5384615384615384,0.5582922824302136,0.1408991813659668
AdaBoostClassifier,0.6388888888888888,0.5334448160535117,0.5334448160535117,0.5728461081402257,0.8136765956878662
GaussianNB,0.6111111111111112,0.5284280936454849,0.5284280936454849,0.5752136752136752,0.021928787231445312
XGBClassifier,0.6388888888888888,0.5167224080267558,0.5167224080267558,0.5413255360623782,0.57419753074646
LGBMClassifier,0.6388888888888888,0.5167224080267558,0.5167224080267558,0.5413255360623782,0.10889506340026855
RidgeClassifierCV,0.5833333333333334,0.5066889632107023,0.5066889632107024,0.5541549953314661,0.03064751625061035
QuadraticDiscriminantAnalysis,0.5833333333333334,0.5066889632107023,0.5066889632107024,0.5541549953314661,0.05785107612609863
RidgeClassifier,0.5833333333333334,0.5066889632107023,0.5066889632107024,0.5541549953314661,0.024863719940185547
LogisticRegression,0.5833333333333334,0.5066889632107023,0.5066889632107024,0.5541549953314661,0.04206347465515137
PassiveAggressiveClassifier,0.5555555555555556,0.5016722408026756,0.5016722408026756,0.5462962962962963,0.04377627372741699
DummyClassifier,0.6388888888888888,0.5,0.5,0.4981167608286252,0.020255327224731445
CalibratedClassifierCV,0.6388888888888888,0.5,0.5,0.4981167608286252,0.5836760997772217
KNeighborsClassifier,0.6388888888888888,0.5,0.5,0.4981167608286252,0.04552340507507324
SVC,0.6388888888888888,0.5,0.5,0.4981167608286252,0.0351254940032959
RandomForestClassifier,0.6388888888888888,0.5,0.5,0.4981167608286252,0.38829493522644043
LabelPropagation,0.6388888888888888,0.5,0.5,0.4981167608286252,0.02615833282470703
LabelSpreading,0.6388888888888888,0.5,0.5,0.4981167608286252,0.025336742401123047
BaggingClassifier,0.6111111111111112,0.49498327759197325,0.49498327759197325,0.5243055555555556,0.5159473419189453
LinearSVC,0.5277777777777778,0.479933110367893,0.479933110367893,0.5233569739952719,0.2173614501953125
SGDClassifier,0.5277777777777778,0.44648829431438125,0.4464882943143812,0.4947089947089947,0.02631545066833496
ExtraTreeClassifier,0.5277777777777778,0.42976588628762546,0.4297658862876254,0.47197396005737613,0.02122187614440918
