Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
LGBMClassifier,0.9632352941176471,0.9632352941176471,0.9632352941176471,0.9632034632034632,0.6280369758605957
XGBClassifier,0.9522058823529411,0.9522058823529411,0.9522058823529411,0.9520964573596151,5.205805778503418
NuSVC,0.9485294117647058,0.9485294117647058,0.948529411764706,0.9485043544112078,0.6818573474884033
RandomForestClassifier,0.9485294117647058,0.9485294117647058,0.948529411764706,0.9485043544112078,1.7687435150146484
ExtraTreesClassifier,0.9448529411764706,0.9448529411764706,0.9448529411764707,0.9447924982747655,0.33145856857299805
SVC,0.9448529411764706,0.9448529411764706,0.9448529411764707,0.9447266815687868,0.37045884132385254
AdaBoostClassifier,0.9301470588235294,0.9301470588235294,0.9301470588235295,0.9301007641847568,6.656139850616455
BaggingClassifier,0.9191176470588235,0.9191176470588235,0.9191176470588235,0.9191176470588235,5.996760606765747
LogisticRegression,0.9080882352941176,0.9080882352941176,0.9080882352941176,0.9079874971246094,0.07612323760986328
KNeighborsClassifier,0.8970588235294118,0.8970588235294117,0.8970588235294118,0.8964992389649924,0.04789304733276367
PassiveAggressiveClassifier,0.8933823529411765,0.8933823529411764,0.8933823529411765,0.8931382510329878,0.4941849708557129
Perceptron,0.8933823529411765,0.8933823529411764,0.8933823529411764,0.8933116927030501,0.1265721321105957
LinearSVC,0.8933823529411765,0.8933823529411764,0.8933823529411764,0.8932076953278366,0.32012057304382324
DecisionTreeClassifier,0.8897058823529411,0.8897058823529411,0.8897058823529411,0.8896103896103896,1.9923641681671143
SGDClassifier,0.8897058823529411,0.8897058823529411,0.8897058823529412,0.8892207439587293,0.15977191925048828
CalibratedClassifierCV,0.8786764705882353,0.8786764705882353,0.8786764705882354,0.8779489550331098,1.096729040145874
RidgeClassifierCV,0.8455882352941176,0.8455882352941176,0.8455882352941176,0.8443766346992154,3.184563398361206
ExtraTreeClassifier,0.8345588235294118,0.8345588235294117,0.8345588235294118,0.8340541493241502,0.039583444595336914
BernoulliNB,0.8308823529411765,0.8308823529411765,0.8308823529411765,0.8293228569869591,0.05738687515258789
RidgeClassifier,0.7977941176470589,0.7977941176470589,0.7977941176470588,0.7947733040674945,0.23291492462158203
NearestCentroid,0.7757352941176471,0.7757352941176471,0.7757352941176471,0.7753679108620013,0.12326192855834961
GaussianNB,0.7720588235294118,0.7720588235294118,0.7720588235294118,0.7717503112987928,0.04188060760498047
LabelPropagation,0.7720588235294118,0.7720588235294117,0.7720588235294117,0.7595665811234674,0.13548660278320312
LabelSpreading,0.7720588235294118,0.7720588235294117,0.7720588235294117,0.7595665811234674,0.2871670722961426
LinearDiscriminantAnalysis,0.7426470588235294,0.7426470588235294,0.7426470588235293,0.7357317343992894,1.3987667560577393
QuadraticDiscriminantAnalysis,0.5882352941176471,0.588235294117647,0.5882352941176471,0.5874322860238353,1.484302282333374
DummyClassifier,0.5,0.5,0.5,0.3333333333333333,0.03448891639709473
