Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
RandomForestClassifier,0.7669491525423728,0.7658200290275763,0.7658200290275763,0.7672148697333933,1.5981502532958984
LGBMClassifier,0.7669491525423728,0.7597242380261249,0.7597242380261249,0.7653019535507777,2.2741129398345947
LabelPropagation,0.7542372881355932,0.7595065312046445,0.7595065312046445,0.7547141543389952,0.28847193717956543
LabelSpreading,0.7542372881355932,0.7595065312046445,0.7595065312046445,0.7547141543389952,0.5911304950714111
LogisticRegression,0.7669491525423728,0.7571117561683599,0.75711175616836,0.7639419056539536,0.08607220649719238
ExtraTreesClassifier,0.7584745762711864,0.7537735849056604,0.7537735849056604,0.7578361442879457,0.8240017890930176
AdaBoostClassifier,0.7584745762711864,0.7511611030478955,0.7511611030478955,0.7567674791344421,5.579518795013428
BaggingClassifier,0.75,0.7504354136429608,0.7504354136429608,0.7505369357662389,3.830591917037964
DecisionTreeClassifier,0.75,0.7486937590711176,0.7486937590711176,0.75028504207764,0.5972561836242676
GaussianNB,0.7627118644067796,0.7471698113207548,0.7471698113207547,0.7554286741896328,0.10239410400390625
XGBClassifier,0.75,0.7443396226415094,0.7443396226415094,0.7490088608751255,5.610530853271484
BernoulliNB,0.7330508474576272,0.7350507982583454,0.7350507982583455,0.7337383279412397,0.040297746658325195
LinearSVC,0.7415254237288136,0.7296806966618288,0.7296806966618288,0.7369743910561175,1.2230780124664307
SVC,0.7372881355932204,0.7179970972423803,0.7179970972423803,0.7253512931851671,0.21309852600097656
NuSVC,0.7330508474576272,0.7132801161103048,0.7132801161103047,0.7203709304356346,0.22016334533691406
SGDClassifier,0.711864406779661,0.7123367198838897,0.7123367198838899,0.7125296549025362,0.16212892532348633
Perceptron,0.7033898305084746,0.7011611030478955,0.7011611030478955,0.7036262075181395,0.04579043388366699
RidgeClassifierCV,0.7203389830508474,0.7008708272859216,0.7008708272859216,0.7076320217777586,0.830101490020752
ExtraTreeClassifier,0.6991525423728814,0.6990566037735848,0.6990566037735849,0.6997986854136096,0.03307533264160156
RidgeClassifier,0.7076271186440678,0.6867198838896953,0.6867198838896952,0.692489007303438,0.06408977508544922
NearestCentroid,0.7076271186440678,0.6832365747460087,0.6832365747460087,0.6868631700942203,0.18307065963745117
PassiveAggressiveClassifier,0.6991525423728814,0.682510885341074,0.682510885341074,0.6894138832387423,0.052464962005615234
LinearDiscriminantAnalysis,0.6779661016949152,0.6624092888243831,0.6624092888243831,0.669117948088103,2.307222366333008
KNeighborsClassifier,0.6864406779661016,0.6613933236574746,0.6613933236574746,0.663338935801119,0.10449004173278809
CalibratedClassifierCV,0.6864406779661016,0.6526850507982583,0.6526850507982584,0.6424112213083328,4.563929796218872
DummyClassifier,0.5508474576271186,0.5,0.5,0.3913124015930351,0.02741694450378418
QuadraticDiscriminantAnalysis,0.5508474576271186,0.5,0.5,0.3913124015930351,1.189232587814331
