Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
AdaBoostClassifier,0.6652542372881356,0.647387518142235,0.647387518142235,0.6532486548971309,3.0502820014953613
XGBClassifier,0.6398305084745762,0.6260522496371552,0.6260522496371553,0.6325512963232314,1.103437900543213
BernoulliNB,0.6228813559322034,0.621988388969521,0.621988388969521,0.6236913098846655,0.0259859561920166
NearestCentroid,0.6186440677966102,0.6172714078374455,0.6172714078374455,0.6193878812885911,0.021544933319091797
LinearSVC,0.614406779661017,0.6134252539912917,0.6134252539912918,0.6152349348258939,0.9801089763641357
LGBMClassifier,0.6271186440677966,0.6127721335268506,0.6127721335268506,0.6190732567057593,0.9954781532287598
RidgeClassifierCV,0.614406779661017,0.6108127721335268,0.6108127721335268,0.6145675396093156,0.09137892723083496
LogisticRegression,0.6059322033898306,0.6022496371552974,0.6022496371552974,0.6060964965238061,0.03320622444152832
ExtraTreeClassifier,0.597457627118644,0.5971698113207546,0.5971698113207548,0.5984372961409978,0.021591901779174805
SVC,0.6101694915254238,0.593033381712627,0.593033381712627,0.5982042504543966,0.31989002227783203
RidgeClassifier,0.5932203389830508,0.5924528301886792,0.5924528301886792,0.5941595128035806,0.03283977508544922
SGDClassifier,0.597457627118644,0.5919448476052249,0.5919448476052249,0.5968644360730461,0.07882404327392578
GaussianNB,0.5889830508474576,0.5868650217706821,0.5868650217706821,0.5896886912227985,0.022649049758911133
LinearDiscriminantAnalysis,0.5847457627118644,0.5830188679245283,0.5830188679245283,0.5855556929586881,0.1172940731048584
ExtraTreesClassifier,0.5932203389830508,0.5802612481857765,0.5802612481857765,0.5865617433414044,0.2519071102142334
RandomForestClassifier,0.5847457627118644,0.569956458635704,0.569956458635704,0.5757861267859592,1.0080578327178955
PassiveAggressiveClassifier,0.559322033898305,0.5564586357039187,0.5564586357039187,0.5599595888261143,0.0863029956817627
NuSVC,0.5635593220338984,0.5559506531204644,0.5559506531204644,0.5618290283074227,0.28515195846557617
BaggingClassifier,0.5550847457627118,0.5508708272859216,0.5508708272859216,0.5552702380107489,3.4592409133911133
Perceptron,0.5508474576271186,0.5461538461538462,0.5461538461538462,0.5508474576271186,0.05871391296386719
DecisionTreeClassifier,0.5423728813559322,0.53933236574746,0.5393323657474601,0.5430349576271186,0.6088607311248779
KNeighborsClassifier,0.5338983050847458,0.5316400580551524,0.5316400580551524,0.5348074104638335,0.020610809326171875
CalibratedClassifierCV,0.5677966101694916,0.5197387518142236,0.5197387518142236,0.43487691686844226,3.760819911956787
QuadraticDiscriminantAnalysis,0.5508474576271186,0.5,0.5,0.3913124015930351,0.08630704879760742
LabelSpreading,0.4491525423728814,0.5,0.5,0.27842204381009017,0.030853986740112305
LabelPropagation,0.4491525423728814,0.5,0.5,0.27842204381009017,0.030117034912109375
DummyClassifier,0.5508474576271186,0.5,0.5,0.3913124015930351,0.01863884925842285
