Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
LGBMClassifier,0.6764227642276422,0.670834484664272,0.6708344846642719,0.6740490245599934,1.272557020187378
RandomForestClassifier,0.6764227642276422,0.6685495355708122,0.6685495355708121,0.6716913970488515,2.792853832244873
XGBClassifier,0.6699186991869919,0.6642984674899568,0.6642984674899569,0.6674972461591892,2.037745952606201
ExtraTreesClassifier,0.6682926829268293,0.6632357004697431,0.663235700469743,0.6663445820504716,0.6237242221832275
DecisionTreeClassifier,0.6601626016260163,0.6581503602780199,0.6581503602780199,0.6600379102174735,1.4144761562347412
AdaBoostClassifier,0.6617886178861788,0.656471188386082,0.6564711883860819,0.6596101226712751,8.698626041412354
BaggingClassifier,0.6536585365853659,0.6516143431037048,0.6516143431037048,0.653531458738382,8.45373797416687
KNeighborsClassifier,0.6520325203252032,0.6455246880778795,0.6455246880778795,0.6486841540113515,0.0505831241607666
ExtraTreeClassifier,0.6308943089430894,0.6271388186281803,0.6271388186281803,0.6298893364909625,0.042778968811035156
LabelPropagation,0.6130081300813008,0.6241311879609752,0.6241311879609752,0.6046146507383441,0.1612701416015625
LabelSpreading,0.6130081300813008,0.6241311879609752,0.6241311879609752,0.6046146507383441,0.12481832504272461
LogisticRegression,0.5967479674796748,0.5821997151784386,0.5821997151784386,0.57762049941928,0.1110541820526123
QuadraticDiscriminantAnalysis,0.5772357723577236,0.5726454396667162,0.5726454396667162,0.5756193208990913,0.27846598625183105
LinearSVC,0.5853658536585366,0.5720184071247901,0.5720184071247901,0.5690867089617718,21.529959201812744
NuSVC,0.5902439024390244,0.5710937998172041,0.5710937998172041,0.5554542426847008,2.698262929916382
SGDClassifier,0.5642276422764227,0.5648287882330436,0.5648287882330436,0.5647535251208375,0.1201322078704834
LinearDiscriminantAnalysis,0.5772357723577236,0.5641911280209153,0.5641911280209153,0.5615174581186554,0.244887113571167
RidgeClassifierCV,0.5821138211382114,0.5625810359852913,0.5625810359852913,0.545235543247669,0.2624499797821045
RidgeClassifier,0.5772357723577236,0.5616776840181096,0.5616776840181096,0.5544382032221248,0.05866098403930664
Perceptron,0.5691056910569106,0.5588772929198461,0.5588772929198461,0.5595564533551253,0.10193276405334473
PassiveAggressiveClassifier,0.5430894308943089,0.5562681998852212,0.5562681998852211,0.5277421409738126,0.15116405487060547
BernoulliNB,0.5300813008130081,0.5290294811571408,0.5290294811571407,0.530519823993259,0.05164289474487305
NearestCentroid,0.5024390243902439,0.5182742789125768,0.5182742789125768,0.47688779909722856,0.04488182067871094
SVC,0.5479674796747968,0.5162709630794737,0.5162709630794737,0.42591945355940086,2.992760181427002
CalibratedClassifierCV,0.5365853658536586,0.5024337364762896,0.5024337364762896,0.3849422819338104,67.0490050315857
DummyClassifier,0.5349593495934959,0.5,0.5,0.3728848008819072,0.03517007827758789
GaussianNB,0.5186991869918699,0.48960082470720767,0.48960082470720767,0.41522532300176407,0.046073198318481445
