Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
LGBMClassifier,0.8058333333333333,0.805185786034935,0.805185786034935,0.8039057991916462,1.7965972423553467
SVC,0.7941666666666667,0.7932741455175785,0.7932741455175786,0.7902962255327898,10.672767400741577
NuSVC,0.7933333333333333,0.7924574425530024,0.7924574425530023,0.7895916695916696,12.60576057434082
XGBClassifier,0.7883333333333333,0.7877905684697097,0.7877905684697097,0.7868546713835775,4.0159361362457275
RandomForestClassifier,0.7875,0.7866960753811281,0.7866960753811281,0.784262266625929,15.865461826324463
ExtraTreesClassifier,0.7858333333333334,0.7850071114271746,0.7850071114271746,0.7823870948757334,2.2438900470733643
RidgeClassifierCV,0.7808333333333334,0.7802180096893194,0.7802180096893195,0.778873709871129,13.582681655883789
LinearDiscriminantAnalysis,0.7758333333333334,0.775251122272101,0.775251122272101,0.7740381836533282,7.3822102546691895
RidgeClassifier,0.7758333333333334,0.775251122272101,0.775251122272101,0.7740381836533282,0.3440511226654053
BaggingClassifier,0.7725,0.7716620738699498,0.7716620738699498,0.7687398673544584,60.43448781967163
CalibratedClassifierCV,0.77,0.7695675363349482,0.7695675363349482,0.7689753123639165,18.99724578857422
LogisticRegression,0.7683333333333333,0.767989688430597,0.7679896884305969,0.7676748299168069,3.959007740020752
LinearSVC,0.7633333333333333,0.7629672429885772,0.7629672429885773,0.7625732637494982,4.846497297286987
AdaBoostClassifier,0.7558333333333334,0.7551835637139428,0.7551835637139429,0.7534094384684649,37.88834571838379
KNeighborsClassifier,0.7525,0.7520278679052402,0.7520278679052403,0.7511943195557228,0.19679617881774902
SGDClassifier,0.7475,0.7471720965376238,0.7471720965376238,0.7468484268078216,1.2886505126953125
GaussianNB,0.7458333333333333,0.7452720120894262,0.7452720120894262,0.743948635132149,0.18619465827941895
Perceptron,0.7358333333333333,0.7354604649095515,0.7354604649095515,0.734959634183261,0.35381388664245605
NearestCentroid,0.7325,0.7321603182363661,0.7321603182363661,0.7317633790336682,0.27487945556640625
BernoulliNB,0.7191666666666666,0.7189041735188231,0.7189041735188231,0.7187006273580431,0.2600138187408447
DecisionTreeClassifier,0.6983333333333334,0.6981976976754523,0.6981976976754523,0.6981949829754708,8.854968786239624
ExtraTreeClassifier,0.695,0.6951753411262722,0.6951753411262722,0.6948126759506547,0.16496825218200684
PassiveAggressiveClassifier,0.68,0.6800524467754122,0.6800524467754122,0.6799893332148135,0.4090292453765869
QuadraticDiscriminantAnalysis,0.6058333333333333,0.6032323658829282,0.6032323658829281,0.5345539987935802,16.26851987838745
DummyClassifier,0.5033333333333333,0.5,0.5,0.3370436067997044,0.1405782699584961
LabelPropagation,0.5033333333333333,0.5,0.5,0.3370436067997044,1.4742252826690674
LabelSpreading,0.5033333333333333,0.5,0.5,0.3370436067997044,1.6494536399841309
