Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
LGBMClassifier,0.9771071800208116,0.97627550294511,0.9762755029451099,0.9771373904870598,1.2300493717193604
XGBClassifier,0.9739854318418314,0.9718507241840479,0.9718507241840479,0.9739941239440789,2.251864194869995
KNeighborsClassifier,0.9427679500520292,0.9396821557635945,0.9396821557635945,0.9428984427326957,0.15803980827331543
ExtraTreesClassifier,0.9354838709677419,0.9327130106517183,0.9327130106517183,0.9356913276131027,0.9802632331848145
RandomForestClassifier,0.9344432882414152,0.92922488119967,0.92922488119967,0.9345084477131089,7.010119676589966
BaggingClassifier,0.9292403746097815,0.9252055885951683,0.9252055885951683,0.9294239716262299,21.643928050994873
PassiveAggressiveClassifier,0.8980228928199792,0.9138401198911115,0.9138401198911115,0.8998445742747729,0.44757580757141113
DecisionTreeClassifier,0.9115504682622269,0.9034871809464189,0.903487180946419,0.9115800214098684,3.532512664794922
LogisticRegression,0.9011446409989594,0.9008171375997116,0.9008171375997116,0.9019410281635546,1.1389610767364502
AdaBoostClassifier,0.894901144640999,0.8933097155431617,0.8933097155431617,0.8956921850515045,24.03039240837097
Perceptron,0.8688865764828304,0.8926742167714765,0.8926742167714765,0.8716618646513008,0.3569166660308838
CalibratedClassifierCV,0.8751300728407908,0.8860892164394996,0.8860892164394996,0.8772110105574424,108.43481707572937
LinearSVC,0.8720083246618107,0.8769669635489286,0.8769669635489287,0.8737496178968126,24.041292905807495
GaussianNB,0.8272632674297606,0.8544802663403808,0.8544802663403808,0.8310802742142742,0.12763595581054688
SGDClassifier,0.8709677419354839,0.8526757343804836,0.8526757343804836,0.8701284094975624,0.8678388595581055
ExtraTreeClassifier,0.8574401664932362,0.8469230477382883,0.8469230477382883,0.8578545157432498,0.10912632942199707
RidgeClassifierCV,0.7918834547346514,0.8305044152937048,0.8305044152937048,0.7962131664602257,5.6823155879974365
SVC,0.8158168574401665,0.8281900615580153,0.8281900615580153,0.8194066079601979,4.591121196746826
BernoulliNB,0.7658688865764828,0.8191318327974276,0.8191318327974276,0.7691894188662736,0.12432098388671875
RidgeClassifier,0.7762747138397502,0.8177754697474129,0.8177754697474129,0.7806674671738661,0.31059789657592773
NearestCentroid,0.7637877211238293,0.817524115755627,0.817524115755627,0.7670501933382547,0.22134757041931152
NuSVC,0.7991675338189386,0.8146572574908233,0.8146572574908233,0.8033459045710551,6.545704126358032
LinearDiscriminantAnalysis,0.7700312174817898,0.8142944540875849,0.8142944540875849,0.7742840553733695,4.760561943054199
QuadraticDiscriminantAnalysis,0.7523413111342352,0.6489675516224189,0.6489675516224189,0.705247117013917,6.027236223220825
LabelPropagation,0.4557752341311134,0.5775687903707708,0.5775687903707708,0.3799903858403948,1.0436837673187256
LabelSpreading,0.4557752341311134,0.5775687903707708,0.5775687903707708,0.3799903858403948,1.1914284229278564
DummyClassifier,0.6472424557752341,0.5,0.5,0.5086352589920349,0.09607863426208496
