Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
LGBMClassifier,0.7757352941176471,0.775735294117647,0.775735294117647,0.7715072643393239,0.614520788192749
KNeighborsClassifier,0.7720588235294118,0.7720588235294118,0.7720588235294117,0.7684407096171803,0.06829333305358887
NuSVC,0.7683823529411765,0.7683823529411765,0.7683823529411765,0.756946512914344,0.3613169193267822
SVC,0.7647058823529411,0.7647058823529411,0.7647058823529412,0.7534975927499292,0.3543894290924072
ExtraTreesClassifier,0.7573529411764706,0.7573529411764706,0.7573529411764707,0.7502087159792953,0.45517826080322266
RandomForestClassifier,0.7536764705882353,0.7536764705882353,0.7536764705882354,0.742362338304941,2.0789639949798584
CalibratedClassifierCV,0.7463235294117647,0.7463235294117647,0.7463235294117647,0.7425337814664928,2.2414121627807617
XGBClassifier,0.7426470588235294,0.7426470588235294,0.7426470588235294,0.738562091503268,2.2375056743621826
SGDClassifier,0.7352941176470589,0.7352941176470589,0.7352941176470589,0.7338551859099804,0.17043519020080566
BaggingClassifier,0.7316176470588235,0.7316176470588236,0.7316176470588236,0.7280856716377031,6.623286485671997
GaussianNB,0.7316176470588235,0.7316176470588235,0.7316176470588235,0.7247383378387746,0.0408017635345459
PassiveAggressiveClassifier,0.7279411764705882,0.7279411764705882,0.7279411764705882,0.7277056277056277,0.18498802185058594
AdaBoostClassifier,0.7242647058823529,0.7242647058823529,0.724264705882353,0.7201454146374922,6.379740953445435
LogisticRegression,0.7205882352941176,0.7205882352941176,0.7205882352941176,0.7202100590114233,0.13959074020385742
LinearSVC,0.7132352941176471,0.7132352941176471,0.7132352941176471,0.7130956888624439,6.547985315322876
Perceptron,0.7132352941176471,0.7132352941176471,0.7132352941176471,0.7132197891321979,0.0809171199798584
BernoulliNB,0.7095588235294118,0.7095588235294118,0.7095588235294117,0.7046688382193268,0.05709123611450195
NearestCentroid,0.7058823529411765,0.7058823529411764,0.7058823529411765,0.7022604126758251,0.11695289611816406
RidgeClassifierCV,0.6654411764705882,0.6654411764705883,0.6654411764705883,0.6648931129252805,1.515115737915039
DecisionTreeClassifier,0.6617647058823529,0.661764705882353,0.661764705882353,0.6608662655174283,1.0747137069702148
ExtraTreeClassifier,0.6397058823529411,0.6397058823529411,0.6397058823529413,0.6392182339884144,0.03807878494262695
QuadraticDiscriminantAnalysis,0.6139705882352942,0.6139705882352942,0.613970588235294,0.613547487923359,1.0696473121643066
RidgeClassifier,0.5992647058823529,0.5992647058823529,0.5992647058823529,0.5976931949250288,0.09829306602478027
LinearDiscriminantAnalysis,0.5404411764705882,0.5404411764705882,0.5404411764705882,0.5401366064786638,1.8003349304199219
DummyClassifier,0.5,0.5,0.5,0.3333333333333333,0.03326082229614258
LabelPropagation,0.5,0.5,0.5,0.3333333333333333,0.09923124313354492
LabelSpreading,0.5,0.5,0.5,0.3333333333333333,0.21030759811401367
