Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
KNeighborsClassifier,0.8181818181818182,0.7631182795698925,0.7631182795698925,0.808066520937808,0.053540706634521484
SVC,0.8251748251748252,0.75,0.75,0.8063942376738585,0.10968828201293945
NuSVC,0.8251748251748252,0.75,0.75,0.8063942376738585,0.17088747024536133
LogisticRegression,0.7902097902097902,0.7462365591397849,0.7462365591397849,0.7839065696208554,0.052459716796875
RandomForestClassifier,0.8181818181818182,0.7446236559139785,0.7446236559139785,0.7998632946001367,1.2676520347595215
XGBClassifier,0.7972027972027972,0.737741935483871,0.737741935483871,0.7849259174560379,1.3975653648376465
LGBMClassifier,0.7902097902097902,0.7323655913978495,0.7323655913978495,0.7785382933897785,0.4007270336151123
AdaBoostClassifier,0.7692307692307693,0.7301075268817204,0.7301075268817205,0.7647308399439436,3.324690580368042
CalibratedClassifierCV,0.7972027972027972,0.728494623655914,0.728494623655914,0.7805355532378098,0.6553871631622314
ExtraTreesClassifier,0.7902097902097902,0.7231182795698925,0.7231182795698925,0.774170004752529,0.26300764083862305
PassiveAggressiveClassifier,0.7482517482517482,0.7139784946236559,0.713978494623656,0.745656974604343,0.09009361267089844
Perceptron,0.7482517482517482,0.7139784946236559,0.713978494623656,0.745656974604343,0.060976266860961914
SGDClassifier,0.7692307692307693,0.7116129032258065,0.7116129032258065,0.7574795704734247,0.21945714950561523
RidgeClassifierCV,0.7272727272727273,0.7070967741935483,0.7070967741935483,0.729009014223084,0.39110708236694336
NearestCentroid,0.7692307692307693,0.706989247311828,0.706989247311828,0.755260526760319,0.10497593879699707
GaussianNB,0.7622377622377622,0.7016129032258065,0.7016129032258065,0.7490100658417489,0.029160737991333008
LinearSVC,0.7272727272727273,0.6978494623655913,0.6978494623655914,0.7266245341111651,0.25499939918518066
BernoulliNB,0.7552447552447552,0.696236559139785,0.696236559139785,0.7427813626233293,0.04195356369018555
BaggingClassifier,0.7412587412587412,0.6901075268817205,0.6901075268817205,0.7324928536358412,4.072671413421631
LinearDiscriminantAnalysis,0.7202797202797203,0.6786021505376345,0.6786021505376345,0.7157231066805535,0.7019057273864746
RidgeClassifier,0.6853146853146853,0.6748387096774193,0.6748387096774193,0.6903058067729192,0.04287123680114746
DecisionTreeClassifier,0.6923076923076923,0.6663440860215053,0.6663440860215054,0.6936520427569021,0.7442681789398193
QuadraticDiscriminantAnalysis,0.5874125874125874,0.6134408602150537,0.6134408602150536,0.595683485033211,0.3764207363128662
ExtraTreeClassifier,0.6153846153846154,0.5794623655913979,0.5794623655913979,0.6162491509026163,0.028912067413330078
DummyClassifier,0.6503496503496503,0.5,0.5,0.5125637074789617,0.028637170791625977
LabelPropagation,0.34965034965034963,0.5,0.5,0.18116598427479252,0.04534435272216797
LabelSpreading,0.34965034965034963,0.5,0.5,0.18116598427479252,0.12612414360046387
