Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
LogisticRegression,0.9522058823529411,0.9488303477344573,0.9488303477344573,0.9521317923440461,0.14842700958251953
PassiveAggressiveClassifier,0.9485294117647058,0.9457534246575342,0.9457534246575342,0.9484903025768195,0.40265917778015137
CalibratedClassifierCV,0.9448529411764706,0.9396979276431331,0.939697927643133,0.9446751857596082,16.052805185317993
LinearSVC,0.9411764705882353,0.9373656480505795,0.9373656480505795,0.94108528288498,2.6893162727355957
LGBMClassifier,0.9338235294117647,0.9319564453811029,0.931956445381103,0.9338718062982769,3.2258002758026123
SGDClassifier,0.9301470588235294,0.9311134527572884,0.9311134527572884,0.9303809414390756,0.1305239200592041
Perceptron,0.9301470588235294,0.9281348788198103,0.9281348788198103,0.9301980177592923,0.22377872467041016
XGBClassifier,0.9264705882352942,0.9272918861959958,0.9272918861959958,0.9267167804621849,2.4959537982940674
RidgeClassifierCV,0.9356617647058824,0.9253038285914998,0.9253038285914998,0.9350485203141073,0.47790098190307617
RidgeClassifier,0.9338235294117647,0.9252546540217773,0.9252546540217773,0.9333639117232649,0.10435104370117188
ExtraTreesClassifier,0.9209558823529411,0.9226765015806111,0.9226765015806112,0.9212885264970733,0.6575620174407959
SVC,0.9246323529411765,0.9205409202669477,0.9205409202669477,0.924545590797971,1.486088752746582
LinearDiscriminantAnalysis,0.9191176470588235,0.9092237442922374,0.9092237442922374,0.9184741860816183,0.4367179870605469
RandomForestClassifier,0.9025735294117647,0.9035686687741482,0.9035686687741482,0.9029835326591834,4.325287818908691
KNeighborsClassifier,0.9117647058823529,0.9030698981383913,0.9030698981383912,0.9112381824746266,0.07484269142150879
NuSVC,0.8805147058823529,0.8836178433438707,0.8836178433438706,0.8812534420233382,2.28482985496521
BaggingClassifier,0.8731617647058824,0.8759747102212856,0.8759747102212856,0.8739459615324666,16.35245394706726
DecisionTreeClassifier,0.8400735294117647,0.8430698981383913,0.8430698981383913,0.8411926692923389,2.963541030883789
AdaBoostClassifier,0.8363970588235294,0.8325465402177731,0.8325465402177732,0.8367932943006131,14.74377179145813
ExtraTreeClassifier,0.8198529411764706,0.8172110994028803,0.8172110994028803,0.8205607289937918,0.06859493255615234
LabelSpreading,0.7463235294117647,0.7876923076923077,0.7876923076923077,0.7425249885110294,0.18979668617248535
LabelPropagation,0.7463235294117647,0.7876923076923077,0.7876923076923077,0.7425249885110294,0.15100502967834473
BernoulliNB,0.7573529411764706,0.769371268001405,0.7693712680014051,0.7596535399251243,0.09572386741638184
GaussianNB,0.7738970588235294,0.7638566912539515,0.7638566912539515,0.7736367723939129,0.07739806175231934
NearestCentroid,0.7647058823529411,0.7613768879522305,0.7613768879522305,0.765883023257525,0.07521581649780273
QuadraticDiscriminantAnalysis,0.5974264705882353,0.5,0.5,0.4468667501523049,0.6326489448547363
DummyClassifier,0.5974264705882353,0.5,0.5,0.4468667501523049,0.07041192054748535
