Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
ExtraTreesClassifier,0.6610169491525424,0.6435413642960812,0.6435413642960812,0.6494595361556124,0.4066920280456543
SVC,0.652542372881356,0.6332365747460087,0.6332365747460087,0.638136113771707,0.31820011138916016
LogisticRegression,0.6271186440677966,0.6267053701015965,0.6267053701015965,0.6279795534032823,0.05384325981140137
LGBMClassifier,0.6398305084745762,0.6260522496371552,0.6260522496371553,0.6325512963232314,0.5942988395690918
RandomForestClassifier,0.635593220338983,0.6161103047895501,0.6161103047895501,0.620484216882522,2.0318684577941895
LinearSVC,0.614406779661017,0.6142960812772134,0.6142960812772134,0.6153451994613769,0.3669016361236572
PassiveAggressiveClassifier,0.614406779661017,0.6142960812772134,0.6142960812772134,0.6153451994613769,0.12605905532836914
NuSVC,0.6228813559322034,0.6124092888243832,0.6124092888243833,0.6188091010770181,0.29772138595581055
GaussianNB,0.6313559322033898,0.6122641509433963,0.6122641509433963,0.6167767882792301,0.03916168212890625
NearestCentroid,0.6101694915254238,0.6034833091436864,0.6034833091436864,0.6088889328801682,0.18022537231445312
Perceptron,0.6059322033898306,0.6022496371552974,0.6022496371552974,0.6060964965238061,0.062143802642822266
XGBClassifier,0.6101694915254238,0.5991291727140784,0.5991291727140784,0.6055574772281793,2.4780454635620117
SGDClassifier,0.597457627118644,0.5875907111756169,0.5875907111756169,0.5938936003666436,0.15287089347839355
BernoulliNB,0.5889830508474576,0.5868650217706821,0.5868650217706821,0.5896886912227985,0.05726146697998047
AdaBoostClassifier,0.5847457627118644,0.5786647314949201,0.5786647314949201,0.5838987989411718,5.838613510131836
BaggingClassifier,0.5677966101694916,0.5702467343976778,0.5702467343976777,0.568791038446352,5.667705059051514
CalibratedClassifierCV,0.6059322033898306,0.5674165457184325,0.5674165457184325,0.5348134848896653,0.8549573421478271
RidgeClassifierCV,0.5635593220338984,0.566400580551524,0.5664005805515239,0.5644926417218953,0.9865262508392334
KNeighborsClassifier,0.559322033898305,0.5616835994194485,0.5616835994194485,0.5603359607688295,0.05860757827758789
QuadraticDiscriminantAnalysis,0.5550847457627118,0.5560957910014513,0.5560957910014513,0.5562295569432054,0.841404914855957
DecisionTreeClassifier,0.5211864406779662,0.5201015965166909,0.5201015965166909,0.522351731199292,1.0030953884124756
LinearDiscriminantAnalysis,0.5084745762711864,0.5120464441219158,0.5120464441219159,0.509180790960452,1.1960177421569824
ExtraTreeClassifier,0.5084745762711864,0.5042089985486211,0.5042089985486211,0.5088662867443458,0.030390501022338867
LabelPropagation,0.4491525423728814,0.5,0.5,0.27842204381009017,0.1008901596069336
DummyClassifier,0.5508474576271186,0.5,0.5,0.3913124015930351,0.02690601348876953
LabelSpreading,0.4491525423728814,0.5,0.5,0.27842204381009017,0.19553661346435547
RidgeClassifier,0.4915254237288136,0.4931785195936139,0.4931785195936139,0.49269533934864945,0.06504154205322266
