Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
XGBClassifier,0.652542372881356,0.6171251109139309,0.6171251109139309,0.6351348979743366,2.2393746376037598
NuSVC,0.652542372881356,0.6112097012718131,0.6112097012718131,0.6281071023635781,0.15623164176940918
ExtraTreeClassifier,0.6016949152542372,0.5943507837917775,0.5943507837917775,0.6031847252521862,0.022251605987548828
LGBMClassifier,0.6271186440677966,0.5924282756580893,0.5924282756580893,0.6101104352447883,0.24938297271728516
SVC,0.6440677966101694,0.5921325051759834,0.5921325051759834,0.6028997345313457,0.10810160636901855
BernoulliNB,0.6016949152542372,0.5766045548654244,0.5766045548654244,0.5937489069137464,0.032449960708618164
RandomForestClassifier,0.6186440677966102,0.5733510795622596,0.5733510795622596,0.587409200968523,0.814610481262207
ExtraTreesClassifier,0.6186440677966102,0.5733510795622596,0.5733510795622596,0.587409200968523,0.20544767379760742
KNeighborsClassifier,0.5932203389830508,0.5723158828748891,0.5723158828748891,0.5884303610906412,0.04798007011413574
DecisionTreeClassifier,0.576271186440678,0.5696539485359362,0.5696539485359361,0.5782552838995452,0.3395209312438965
GaussianNB,0.6186440677966102,0.5674356699201419,0.5674356699201419,0.577334577573298,0.023023128509521484
NearestCentroid,0.6016949152542372,0.564773735581189,0.564773735581189,0.5817400049949712,0.08813953399658203
BaggingClassifier,0.5847457627118644,0.562111801242236,0.562111801242236,0.5787978240345277,2.0135035514831543
LinearDiscriminantAnalysis,0.576271186440678,0.5578231292517006,0.5578231292517006,0.5732236912277852,0.6959891319274902
CalibratedClassifierCV,0.6101694915254238,0.5483584738243124,0.5483584738243124,0.5451505222703981,0.20830583572387695
QuadraticDiscriminantAnalysis,0.5254237288135594,0.5232179828453121,0.5232179828453121,0.52872992054316,0.5592849254608154
AdaBoostClassifier,0.5423728813559322,0.5140490979000296,0.5140490979000296,0.53183171615375,2.3200411796569824
SGDClassifier,0.5423728813559322,0.5022182786157942,0.502218278615794,0.5172913950456323,0.12681984901428223
LogisticRegression,0.5338983050847458,0.5008873114463177,0.5008873114463177,0.5183192145418051,0.037428855895996094
PassiveAggressiveClassifier,0.5338983050847458,0.5008873114463177,0.5008873114463177,0.5183192145418051,0.05083107948303223
DummyClassifier,0.5847457627118644,0.5,0.5,0.43152361098522607,0.020517587661743164
LabelPropagation,0.4152542372881356,0.5,0.5,0.24368212727088195,0.044455528259277344
LabelSpreading,0.4152542372881356,0.5,0.5,0.24368212727088195,0.04114198684692383
LinearSVC,0.5254237288135594,0.49955634427684115,0.4995563442768412,0.5173335397157083,0.17089271545410156
Perceptron,0.5084745762711864,0.4850635906536528,0.4850635906536528,0.5026866863178581,0.035106658935546875
RidgeClassifierCV,0.4830508474576271,0.45740905057675246,0.45740905057675246,0.47564627073686105,0.26728129386901855
RidgeClassifier,0.4830508474576271,0.45445134575569357,0.45445134575569357,0.47273794301571326,0.03851485252380371
