Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
DecisionTreeClassifier,0.6785714285714286,0.55,0.55,0.652696141068234,0.0579829216003418
NearestCentroid,0.6428571428571429,0.525,0.525,0.6258503401360543,0.06712961196899414
LGBMClassifier,0.6785714285714286,0.5125,0.5125,0.6233766233766234,0.10069108009338379
LabelPropagation,0.7142857142857143,0.5,0.5,0.5952380952380952,0.02232050895690918
ExtraTreesClassifier,0.7142857142857143,0.5,0.5,0.5952380952380952,0.11950802803039551
DummyClassifier,0.7142857142857143,0.5,0.5,0.5952380952380952,0.020599842071533203
RidgeClassifier,0.7142857142857143,0.5,0.5,0.5952380952380952,0.020886659622192383
LabelSpreading,0.7142857142857143,0.5,0.5,0.5952380952380952,0.020726442337036133
NuSVC,0.7142857142857143,0.5,0.5,0.5952380952380952,0.024466753005981445
CalibratedClassifierCV,0.7142857142857143,0.5,0.5,0.5952380952380952,0.06617450714111328
BernoulliNB,0.6071428571428571,0.5,0.5,0.5988385598141696,0.023437976837158203
RidgeClassifierCV,0.7142857142857143,0.5,0.5,0.5952380952380952,0.023204326629638672
SVC,0.7142857142857143,0.5,0.5,0.5952380952380952,0.025382041931152344
LogisticRegression,0.7142857142857143,0.5,0.5,0.5952380952380952,0.030950307846069336
GaussianNB,0.6428571428571429,0.4875,0.4875,0.5995670995670995,0.02106952667236328
RandomForestClassifier,0.6785714285714286,0.475,0.475,0.5775075987841944,0.2609128952026367
LinearDiscriminantAnalysis,0.6785714285714286,0.475,0.475,0.5775075987841944,0.1359233856201172
ExtraTreeClassifier,0.5714285714285714,0.475,0.475,0.5714285714285714,0.020847797393798828
AdaBoostClassifier,0.6071428571428571,0.4625,0.4625,0.5755175057500639,0.6198315620422363
SGDClassifier,0.6071428571428571,0.4625,0.4625,0.5755175057500639,0.0220794677734375
KNeighborsClassifier,0.6428571428571429,0.45,0.45,0.5590062111801243,0.04374098777770996
BaggingClassifier,0.6071428571428571,0.425,0.425,0.5396825396825397,0.2464585304260254
XGBClassifier,0.6071428571428571,0.425,0.425,0.5396825396825397,0.452500581741333
LinearSVC,0.5357142857142857,0.375,0.375,0.4983388704318937,0.09682035446166992
PassiveAggressiveClassifier,0.5357142857142857,0.375,0.375,0.4983388704318937,0.026490211486816406
Perceptron,0.4642857142857143,0.325,0.325,0.4529616724738676,0.02206277847290039
QuadraticDiscriminantAnalysis,0.25,0.2875,0.2875,0.260536398467433,0.1240081787109375
