Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
RidgeClassifierCV,0.7857142857142857,0.6625,0.6625,0.7597402597402597,0.023893356323242188
LinearSVC,0.7142857142857143,0.6125,0.6124999999999999,0.7006802721088434,0.19542431831359863
RidgeClassifier,0.7142857142857143,0.6125,0.6124999999999999,0.7006802721088434,0.02020120620727539
SGDClassifier,0.7142857142857143,0.6125,0.6124999999999999,0.7006802721088434,0.02326679229736328
Perceptron,0.6785714285714286,0.5875,0.5875,0.6717770034843206,0.023912429809570312
ExtraTreeClassifier,0.6785714285714286,0.55,0.55,0.652696141068234,0.020876407623291016
DecisionTreeClassifier,0.6785714285714286,0.55,0.55,0.652696141068234,0.07936477661132812
BernoulliNB,0.5357142857142857,0.525,0.525,0.5578231292517006,0.023403167724609375
NearestCentroid,0.5714285714285714,0.5125,0.5125,0.5839598997493735,0.02192401885986328
LogisticRegression,0.6785714285714286,0.5125,0.5125,0.6233766233766234,0.03431963920593262
LabelPropagation,0.7142857142857143,0.5,0.5,0.5952380952380952,0.024424314498901367
SVC,0.7142857142857143,0.5,0.5,0.5952380952380952,0.024362802505493164
PassiveAggressiveClassifier,0.6071428571428571,0.5,0.5,0.5988385598141696,0.03800606727600098
LabelSpreading,0.7142857142857143,0.5,0.5,0.5952380952380952,0.022485017776489258
RandomForestClassifier,0.7142857142857143,0.5,0.5,0.5952380952380952,0.33148908615112305
DummyClassifier,0.7142857142857143,0.5,0.5,0.5952380952380952,0.020119667053222656
CalibratedClassifierCV,0.7142857142857143,0.5,0.5,0.5952380952380952,0.2357347011566162
NuSVC,0.7142857142857143,0.5,0.5,0.5952380952380952,0.024515867233276367
LinearDiscriminantAnalysis,0.6428571428571429,0.4875,0.4875,0.5995670995670995,0.13531947135925293
BaggingClassifier,0.6785714285714286,0.475,0.475,0.5775075987841944,0.3015024662017822
QuadraticDiscriminantAnalysis,0.4642857142857143,0.475,0.475,0.48898927159796723,0.06841015815734863
ExtraTreesClassifier,0.6785714285714286,0.475,0.475,0.5775075987841944,0.12183403968811035
KNeighborsClassifier,0.6785714285714286,0.475,0.475,0.5775075987841944,0.042812347412109375
AdaBoostClassifier,0.6428571428571429,0.45,0.45,0.5590062111801243,0.6255593299865723
XGBClassifier,0.6071428571428571,0.425,0.425,0.5396825396825397,0.5598781108856201
LGBMClassifier,0.6071428571428571,0.425,0.425,0.5396825396825397,0.08853888511657715
GaussianNB,0.5,0.3875,0.3875,0.5,0.02086949348449707
