Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
NuSVC,0.7683823529411765,0.7683823529411765,0.7683823529411765,0.756946512914344,0.33056187629699707
KNeighborsClassifier,0.7683823529411765,0.7683823529411764,0.7683823529411764,0.7635206933193492,0.023942947387695312
SVC,0.7647058823529411,0.7647058823529411,0.7647058823529412,0.7534975927499292,0.4077022075653076
ExtraTreesClassifier,0.7610294117647058,0.7610294117647058,0.761029411764706,0.7515981735159818,0.25078916549682617
RandomForestClassifier,0.7573529411764706,0.7573529411764706,0.7573529411764706,0.7449420322800636,1.0248558521270752
LGBMClassifier,0.7536764705882353,0.7536764705882353,0.7536764705882353,0.7490325690284376,1.0106101036071777
XGBClassifier,0.7352941176470589,0.7352941176470589,0.7352941176470589,0.7300248138957817,0.8254380226135254
CalibratedClassifierCV,0.7316176470588235,0.7316176470588236,0.7316176470588236,0.7280856716377031,1.878951072692871
PassiveAggressiveClassifier,0.7242647058823529,0.7242647058823529,0.7242647058823529,0.7240819638871983,0.17458510398864746
BaggingClassifier,0.7205882352941176,0.7205882352941176,0.7205882352941175,0.7190693629049792,3.5070958137512207
LogisticRegression,0.7169117647058824,0.7169117647058824,0.7169117647058824,0.7164480186290836,0.03556108474731445
LinearSVC,0.7169117647058824,0.7169117647058824,0.7169117647058824,0.7167241495908568,5.155591726303101
GaussianNB,0.7169117647058824,0.7169117647058824,0.7169117647058824,0.711574743510294,0.024307966232299805
Perceptron,0.7132352941176471,0.7132352941176471,0.7132352941176472,0.7132197891321979,0.05912661552429199
SGDClassifier,0.7132352941176471,0.7132352941176471,0.713235294117647,0.7119739342926961,0.0592498779296875
AdaBoostClassifier,0.7095588235294118,0.7095588235294117,0.7095588235294117,0.7078171953822933,2.4286158084869385
BernoulliNB,0.6948529411764706,0.6948529411764706,0.6948529411764706,0.6908371335058817,0.02979135513305664
NearestCentroid,0.6764705882352942,0.6764705882352942,0.676470588235294,0.6739319965126417,0.023555755615234375
DecisionTreeClassifier,0.6727941176470589,0.6727941176470589,0.6727941176470589,0.671510957324106,0.47855281829833984
RidgeClassifierCV,0.6654411764705882,0.6654411764705882,0.6654411764705883,0.6650744895335778,0.147385835647583
ExtraTreeClassifier,0.6617647058823529,0.6617647058823529,0.661764705882353,0.6602769481401033,0.022461891174316406
RidgeClassifier,0.6066176470588235,0.6066176470588236,0.6066176470588236,0.605417643948535,0.03494119644165039
QuadraticDiscriminantAnalysis,0.6029411764705882,0.6029411764705882,0.6029411764705882,0.5992797511867736,0.10756301879882812
LinearDiscriminantAnalysis,0.5441176470588235,0.5441176470588236,0.5441176470588235,0.5438957104992698,0.15167593955993652
LabelSpreading,0.5,0.5,0.5,0.3333333333333333,0.03593087196350098
LabelPropagation,0.5,0.5,0.5,0.3333333333333333,0.03381490707397461
DummyClassifier,0.5,0.5,0.5,0.3333333333333333,0.019949674606323242
