Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
BaggingClassifier,0.7372881355932204,0.7371552975326561,0.7371552975326561,0.7378005404432516,3.4573628902435303
BernoulliNB,0.7330508474576272,0.7359216255442671,0.7359216255442671,0.7337377341659234,0.024811983108520508
SVC,0.7415254237288136,0.7331640058055152,0.7331640058055151,0.7392369433933185,0.2779271602630615
ExtraTreesClassifier,0.7330508474576272,0.7306966618287373,0.7306966618287372,0.7331621428064493,0.21176385879516602
RandomForestClassifier,0.7245762711864406,0.7212626995645863,0.7212626995645863,0.7244512399863473,1.0596201419830322
NearestCentroid,0.7245762711864406,0.7203918722786646,0.7203918722786647,0.7241704036289263,0.02231287956237793
NuSVC,0.7288135593220338,0.7190130624092888,0.7190130624092888,0.7256052015500377,0.24727869033813477
XGBClassifier,0.7245762711864406,0.7186502177068215,0.7186502177068215,0.723484338252257,0.8296980857849121
GaussianNB,0.7288135593220338,0.7172714078374456,0.7172714078374456,0.7243744955609362,0.021557092666625977
PassiveAggressiveClassifier,0.7033898305084746,0.6968069666182873,0.6968069666182873,0.7020009622872675,0.11180901527404785
Perceptron,0.6949152542372882,0.6934687953555878,0.6934687953555879,0.695356638418079,0.03949284553527832
LGBMClassifier,0.6991525423728814,0.6912191582002902,0.6912191582002902,0.6970261582200947,0.9894351959228516
LogisticRegression,0.690677966101695,0.6861393323657474,0.6861393323657476,0.6902221456140248,0.03501582145690918
SGDClassifier,0.673728813559322,0.6759796806966618,0.6759796806966618,0.6745683417583507,0.06315279006958008
AdaBoostClassifier,0.6864406779661016,0.674455732946299,0.6744557329462989,0.6813080104923326,2.9864859580993652
KNeighborsClassifier,0.6822033898305084,0.6679970972423803,0.6679970972423802,0.6748987487298869,0.021291732788085938
DecisionTreeClassifier,0.6694915254237288,0.6642960812772134,0.6642960812772133,0.6688174114021572,0.5228390693664551
RidgeClassifierCV,0.6610169491525424,0.648766328011611,0.648766328011611,0.6554681194511703,0.11478304862976074
ExtraTreeClassifier,0.6483050847457628,0.6441944847605225,0.6441944847605224,0.6481454295210283,0.021289825439453125
LinearSVC,0.6440677966101694,0.6377358490566037,0.6377358490566037,0.6428985908905883,0.8418819904327393
CalibratedClassifierCV,0.6271186440677966,0.595355587808418,0.595355587808418,0.5833234364307811,3.466188907623291
RidgeClassifier,0.5635593220338984,0.5559506531204644,0.5559506531204644,0.5618290283074227,0.03271794319152832
LabelSpreading,0.4788135593220339,0.5251814223512337,0.5251814223512337,0.3525678668820946,0.03245401382446289
LabelPropagation,0.4788135593220339,0.5251814223512337,0.5251814223512337,0.3525678668820946,0.03182506561279297
QuadraticDiscriminantAnalysis,0.5,0.5095791001451379,0.509579100145138,0.4969422260594287,0.09021425247192383
DummyClassifier,0.5508474576271186,0.5,0.5,0.3913124015930351,0.019221067428588867
LinearDiscriminantAnalysis,0.4915254237288136,0.4853410740203193,0.4853410740203193,0.4910448588802838,0.13658404350280762
