Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
AdaBoostClassifier,0.7461538461538462,0.7495256166982922,0.7495256166982923,0.7453264957264957,2.5758440494537354
PassiveAggressiveClassifier,0.7307692307692307,0.7319734345351043,0.7319734345351043,0.7308488895565054,0.08135461807250977
BaggingClassifier,0.7307692307692307,0.7291271347248577,0.7291271347248576,0.7303370272631228,1.5893197059631348
ExtraTreesClassifier,0.7230769230769231,0.7274667931688805,0.7274667931688805,0.7212347168156148,0.2695658206939697
LogisticRegression,0.7153846153846154,0.7186907020872866,0.7186907020872864,0.7144569800569801,0.05150485038757324
KNeighborsClassifier,0.7153846153846154,0.7179791271347249,0.7179791271347249,0.7149296621323145,0.056639909744262695
CalibratedClassifierCV,0.7076923076923077,0.7113377609108159,0.7113377609108159,0.7064443146985842,2.39725661277771
NuSVC,0.7076923076923077,0.7113377609108159,0.7113377609108159,0.7064443146985842,0.1796283721923828
RandomForestClassifier,0.7076923076923077,0.7106261859582543,0.7106261859582542,0.7069997995371129,0.9043807983398438
RidgeClassifierCV,0.7076923076923077,0.7106261859582543,0.7106261859582542,0.7069997995371129,0.36235904693603516
SVC,0.7,0.7054079696394687,0.7054079696394687,0.6966565349544073,0.10010790824890137
XGBClassifier,0.7,0.7025616698292221,0.702561669829222,0.6995204546800071,2.1599695682525635
GaussianNB,0.6923076923076923,0.6966318785578747,0.6966318785578748,0.6902607964617944,0.0310823917388916
LGBMClassifier,0.6923076923076923,0.6937855787476281,0.6937855787476281,0.6923076923076923,0.35624265670776367
Perceptron,0.6923076923076923,0.6937855787476281,0.6937855787476281,0.6923076923076923,0.040549278259277344
QuadraticDiscriminantAnalysis,0.6846153846153846,0.6885673624288424,0.6885673624288425,0.6829122215983531,0.6741085052490234
SGDClassifier,0.6846153846153846,0.6857210626185959,0.6857210626185958,0.6847086991947634,0.14089632034301758
DecisionTreeClassifier,0.6846153846153846,0.6814516129032258,0.6814516129032258,0.6829000059769291,0.3527514934539795
LinearSVC,0.676923076923077,0.6776565464895636,0.6776565464895636,0.6770760489510489,0.6281218528747559
ExtraTreeClassifier,0.6461538461538462,0.6482447817836812,0.6482447817836813,0.6458187645687645,0.02867293357849121
RidgeClassifier,0.6461538461538462,0.6475332068311195,0.6475332068311195,0.6461538461538462,0.04422950744628906
BernoulliNB,0.5461538461538461,0.5434060721062619,0.5434060721062619,0.544666180711237,0.039888620376586914
NearestCentroid,0.5153846153846153,0.5147058823529411,0.5147058823529412,0.5155282051282051,0.041242361068725586
DummyClassifier,0.47692307692307695,0.5,0.5,0.30801282051282053,0.026918888092041016
LabelPropagation,0.5076923076923077,0.4888519924098672,0.48885199240986715,0.40754253012317526,0.0475773811340332
LabelSpreading,0.5076923076923077,0.4888519924098672,0.48885199240986715,0.40754253012317526,0.046631574630737305
LinearDiscriminantAnalysis,0.4307692307692308,0.428842504743833,0.42884250474383306,0.43022826543852916,0.8844609260559082
