Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
LinearSVC,0.6016949152542372,0.6014705882352941,0.6014705882352941,0.6039168591450889,0.1741330623626709
LogisticRegression,0.5932203389830508,0.5888235294117647,0.5888235294117647,0.5948796965746118,0.039675235748291016
XGBClassifier,0.6016949152542372,0.5882352941176471,0.5882352941176471,0.5998338145838388,1.4694271087646484
SGDClassifier,0.6101694915254238,0.5823529411764705,0.5823529411764705,0.5966311916962292,0.18799924850463867
PassiveAggressiveClassifier,0.5847457627118644,0.5788235294117647,0.5788235294117647,0.5861098360513757,0.057613372802734375
Perceptron,0.5847457627118644,0.5761764705882353,0.5761764705882353,0.5852634981012227,0.04176807403564453
RandomForestClassifier,0.6016949152542372,0.575,0.575,0.5893122145559003,1.016160488128662
LGBMClassifier,0.6016949152542372,0.5723529411764705,0.5723529411764705,0.5863337140895195,0.2888607978820801
NuSVC,0.5932203389830508,0.5702941176470588,0.5702941176470588,0.5845522792353534,0.17383956909179688
RidgeClassifier,0.5677966101694916,0.5641176470588236,0.5641176470588236,0.5698390107757425,0.04466962814331055
RidgeClassifierCV,0.5677966101694916,0.5641176470588236,0.5641176470588236,0.5698390107757425,0.23668742179870605
ExtraTreesClassifier,0.576271186440678,0.5529411764705883,0.5529411764705883,0.5672419575368263,0.24786925315856934
SVC,0.5847457627118644,0.5497058823529412,0.5497058823529412,0.5614941714085144,0.09308385848999023
KNeighborsClassifier,0.5423728813559322,0.5447058823529412,0.5447058823529412,0.545014307726172,0.05274772644042969
CalibratedClassifierCV,0.5508474576271186,0.5308823529411765,0.5308823529411765,0.5449371113668544,0.18639111518859863
LinearDiscriminantAnalysis,0.5169491525423728,0.5120588235294117,0.5120588235294117,0.5192318355728888,0.6827282905578613
BaggingClassifier,0.5084745762711864,0.5073529411764706,0.5073529411764706,0.5113190521029505,1.8267407417297363
GaussianNB,0.5423728813559322,0.505,0.505,0.5145045632333768,0.0286557674407959
NearestCentroid,0.5338983050847458,0.5029411764705882,0.5029411764705882,0.5159224313813526,0.08988428115844727
QuadraticDiscriminantAnalysis,0.5084745762711864,0.5020588235294118,0.5020588235294117,0.5104796333609892,0.4340808391571045
DummyClassifier,0.576271186440678,0.5,0.5,0.42135957718243117,0.024364948272705078
LabelPropagation,0.423728813559322,0.5,0.5,0.25221953188054885,0.0437166690826416
LabelSpreading,0.423728813559322,0.5,0.5,0.25221953188054885,0.0410003662109375
DecisionTreeClassifier,0.5084745762711864,0.4967647058823529,0.4967647058823529,0.5084745762711864,0.3488943576812744
ExtraTreeClassifier,0.5084745762711864,0.49411764705882355,0.49411764705882355,0.5070207891557508,0.026931047439575195
BernoulliNB,0.5169491525423728,0.4935294117647059,0.4935294117647059,0.5080532559200005,0.03807783126831055
AdaBoostClassifier,0.4576271186440678,0.45,0.45000000000000007,0.45983959543281583,2.7999908924102783
