Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
LGBMClassifier,0.7904411764705882,0.7904411764705883,0.7904411764705883,0.7864903945465812,0.5703203678131104
RandomForestClassifier,0.7904411764705882,0.7904411764705882,0.7904411764705882,0.7850696610521938,2.1668529510498047
XGBClassifier,0.7867647058823529,0.7867647058823529,0.7867647058823529,0.7837719298245613,2.286515474319458
DecisionTreeClassifier,0.7830882352941176,0.7830882352941176,0.7830882352941176,0.7828504932140778,1.004213809967041
AdaBoostClassifier,0.7720588235294118,0.7720588235294118,0.7720588235294118,0.7604000909297568,6.702441215515137
NuSVC,0.7720588235294118,0.7720588235294117,0.7720588235294118,0.7595665811234674,0.30106496810913086
ExtraTreesClassifier,0.7683823529411765,0.7683823529411765,0.7683823529411765,0.7624454148471616,0.4857962131500244
SVC,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.7509157509157509,0.2682058811187744
BaggingClassifier,0.7536764705882353,0.7536764705882353,0.7536764705882353,0.7515778568410147,7.481407880783081
KNeighborsClassifier,0.75,0.75,0.75,0.746031746031746,0.07104873657226562
PassiveAggressiveClassifier,0.7389705882352942,0.7389705882352942,0.7389705882352939,0.7386844918338904,0.16022992134094238
SGDClassifier,0.7279411764705882,0.7279411764705883,0.7279411764705882,0.7272185179161923,0.2552149295806885
LogisticRegression,0.7242647058823529,0.7242647058823529,0.7242647058823528,0.7231833910034602,0.07323050498962402
RidgeClassifierCV,0.7242647058823529,0.7242647058823529,0.7242647058823529,0.7219155113891957,1.307938814163208
Perceptron,0.7205882352941176,0.7205882352941176,0.7205882352941175,0.7180116767610629,0.07735824584960938
CalibratedClassifierCV,0.7169117647058824,0.7169117647058824,0.7169117647058822,0.7057393747804707,4.482386112213135
RidgeClassifier,0.6948529411764706,0.6948529411764706,0.6948529411764706,0.6933566955978431,0.12728667259216309
ExtraTreeClassifier,0.6911764705882353,0.6911764705882353,0.6911764705882353,0.6903561554724346,0.03992772102355957
LinearDiscriminantAnalysis,0.6838235294117647,0.6838235294117647,0.6838235294117647,0.6827256944444444,1.3937125205993652
LinearSVC,0.6727941176470589,0.6727941176470589,0.6727941176470589,0.672435489763609,4.320296764373779
GaussianNB,0.6323529411764706,0.6323529411764706,0.6323529411764706,0.6307358131957643,0.04359769821166992
NearestCentroid,0.6102941176470589,0.6102941176470589,0.6102941176470588,0.6097666612527747,0.10823774337768555
BernoulliNB,0.5735294117647058,0.5735294117647058,0.573529411764706,0.5733217936928653,0.052654266357421875
LabelSpreading,0.5330882352941176,0.5330882352941176,0.5330882352941178,0.4314587139353841,0.28618884086608887
LabelPropagation,0.5330882352941176,0.5330882352941176,0.5330882352941178,0.4314587139353841,0.10739779472351074
DummyClassifier,0.5,0.5,0.5,0.3333333333333333,0.03525662422180176
QuadraticDiscriminantAnalysis,0.5,0.5,0.5,0.3333333333333333,0.9567010402679443
