Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
ExtraTreesClassifier,0.6864406779661016,0.6490683229813664,0.6490683229813664,0.6677075119879416,0.22848272323608398
SVC,0.6779661016949152,0.6388642413487133,0.6388642413487133,0.6570615967741048,0.0762174129486084
LGBMClassifier,0.6610169491525424,0.6362023070097604,0.6362023070097604,0.6532086786324074,0.2447059154510498
QuadraticDiscriminantAnalysis,0.6610169491525424,0.6332446021887016,0.6332446021887015,0.6509262908947575,0.4696371555328369
NuSVC,0.652542372881356,0.6230405205560485,0.6230405205560485,0.6409288690220729,0.09189724922180176
RandomForestClassifier,0.6440677966101694,0.6157941437444543,0.6157941437444543,0.6334726054394955,0.8326137065887451
DecisionTreeClassifier,0.6186440677966102,0.6058858325939072,0.605885832593907,0.6180500994975469,0.49874114990234375
AdaBoostClassifier,0.6186440677966102,0.5881396036675539,0.5881396036675539,0.6058975391705678,2.312880754470825
GaussianNB,0.6016949152542372,0.585477669328601,0.585477669328601,0.59964317573595,0.02561497688293457
XGBClassifier,0.6101694915254238,0.5838509316770186,0.5838509316770186,0.6011899804272686,1.7245466709136963
NearestCentroid,0.5932203389830508,0.5752735876959479,0.5752735876959479,0.5902947435786737,0.10393571853637695
RidgeClassifier,0.5847457627118644,0.5739426205264715,0.5739426205264714,0.5853274799210714,0.038135528564453125
BernoulliNB,0.5932203389830508,0.5723158828748891,0.5723158828748891,0.5884303610906412,0.026841163635253906
BaggingClassifier,0.5847457627118644,0.5591540964211772,0.5591540964211772,0.5764616263568844,2.724668502807617
KNeighborsClassifier,0.5847457627118644,0.5473232771369417,0.5473232771369417,0.5639417073351828,0.04746508598327637
CalibratedClassifierCV,0.6016949152542372,0.5440698018337771,0.544069801833777,0.5460806488069131,1.9872512817382812
ExtraTreeClassifier,0.5508474576271186,0.536083998816918,0.5360839988169182,0.5501478949637774,0.022252559661865234
RidgeClassifierCV,0.559322033898305,0.5344572611653358,0.5344572611653357,0.5518097154503006,0.2264235019683838
SGDClassifier,0.5423728813559322,0.5199645075421473,0.5199645075421473,0.5369841562269713,0.14475607872009277
PassiveAggressiveClassifier,0.5423728813559322,0.5170068027210885,0.5170068027210883,0.5345716275830045,0.1026604175567627
LogisticRegression,0.5423728813559322,0.5140490979000296,0.5140490979000296,0.53183171615375,0.08845114707946777
LabelPropagation,0.4152542372881356,0.5,0.5,0.24368212727088195,0.04706239700317383
DummyClassifier,0.5847457627118644,0.5,0.5,0.43152361098522607,0.020768404006958008
LabelSpreading,0.4152542372881356,0.5,0.5,0.24368212727088195,0.041643381118774414
LinearSVC,0.5084745762711864,0.48210588583259384,0.4821058858325939,0.5000954518484121,0.600719690322876
Perceptron,0.4830508474576271,0.46628216503992903,0.4662821650399289,0.48224569043000787,0.03242969512939453
LinearDiscriminantAnalysis,0.4830508474576271,0.45740905057675246,0.45740905057675246,0.47564627073686105,0.7016074657440186
