Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
Perceptron,0.6455026455026455,0.5584615384615385,0.5584615384615385,0.6697595514799816,0.05173134803771973
NearestCentroid,0.6402116402116402,0.5456410256410257,0.5456410256410256,0.6640751538710722,0.09998536109924316
SGDClassifier,0.7566137566137566,0.543076923076923,0.5430769230769231,0.726994110012978,0.131605863571167
XGBClassifier,0.783068783068783,0.5312820512820513,0.5312820512820513,0.7284356498425105,1.961153268814087
NuSVC,0.7936507936507936,0.5284615384615384,0.5284615384615384,0.728213928213928,0.28250694274902344
KNeighborsClassifier,0.7301587301587301,0.5264102564102564,0.5264102564102564,0.7087783356153963,0.05963611602783203
BernoulliNB,0.6825396825396826,0.5248717948717949,0.5248717948717948,0.6854426334292106,0.05613589286804199
PassiveAggressiveClassifier,0.6349206349206349,0.5233333333333333,0.5233333333333333,0.6566203494602231,0.08412027359008789
LogisticRegression,0.6613756613756614,0.5115384615384615,0.5115384615384615,0.6700140373609761,0.04353499412536621
AdaBoostClassifier,0.7354497354497355,0.5107692307692308,0.5107692307692308,0.7032544674054108,4.613331317901611
LinearSVC,0.6243386243386243,0.5071794871794872,0.5071794871794871,0.646667316111244,0.26520705223083496
RandomForestClassifier,0.7883597883597884,0.5061538461538462,0.5061538461538462,0.708994708994709,2.2429862022399902
LGBMClassifier,0.7883597883597884,0.5061538461538462,0.5061538461538462,0.708994708994709,0.48885536193847656
GaussianNB,0.7566137566137566,0.5051282051282051,0.5051282051282051,0.7054727821598987,0.03561758995056152
SVC,0.7936507936507936,0.5,0.5,0.7023458350891979,0.20435261726379395
DummyClassifier,0.7936507936507936,0.5,0.5,0.7023458350891979,0.02575516700744629
CalibratedClassifierCV,0.7936507936507936,0.5,0.5,0.7023458350891979,0.7253928184509277
LabelPropagation,0.7936507936507936,0.5,0.5,0.7023458350891979,0.06063985824584961
LabelSpreading,0.7936507936507936,0.5,0.5,0.7023458350891979,0.15065765380859375
LinearDiscriminantAnalysis,0.582010582010582,0.49948717948717947,0.4994871794871795,0.6162892603558878,1.1017539501190186
ExtraTreesClassifier,0.7883597883597884,0.49666666666666665,0.49666666666666665,0.6997276228045458,0.353879451751709
RidgeClassifier,0.6031746031746031,0.4938461538461539,0.4938461538461538,0.6303278561343078,0.05177044868469238
RidgeClassifierCV,0.6137566137566137,0.491025641025641,0.49102564102564095,0.6367142827622649,0.5803525447845459
BaggingClassifier,0.7513227513227513,0.4828205128205128,0.48282051282051275,0.6886945254292193,7.674641132354736
DecisionTreeClassifier,0.6137566137566137,0.4720512820512821,0.4720512820512821,0.632597754548974,1.3880677223205566
ExtraTreeClassifier,0.5555555555555556,0.44487179487179485,0.44487179487179485,0.5900243309002434,0.02990889549255371
QuadraticDiscriminantAnalysis,0.4126984126984127,0.44025641025641027,0.44025641025641027,0.46158140287855126,0.5922935009002686
