Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
RandomForestClassifier,0.7904411764705882,0.7904411764705883,0.7904411764705883,0.7839916405433647,2.009190797805786
LGBMClassifier,0.7830882352941176,0.7830882352941176,0.7830882352941175,0.7789988294429525,0.639793872833252
XGBClassifier,0.7830882352941176,0.7830882352941176,0.7830882352941175,0.7794362209486112,3.6117749214172363
AdaBoostClassifier,0.7794117647058824,0.7794117647058824,0.7794117647058825,0.7716971630015108,6.784045934677124
NuSVC,0.7757352941176471,0.7757352941176471,0.7757352941176471,0.763858645375233,0.28630995750427246
ExtraTreesClassifier,0.7720588235294118,0.7720588235294117,0.7720588235294117,0.7670203359858533,0.48807597160339355
KNeighborsClassifier,0.7683823529411765,0.7683823529411764,0.7683823529411764,0.7644827444027543,0.049225568771362305
ExtraTreeClassifier,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.7636709204452892,0.0409083366394043
SVC,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.7509157509157509,0.26474499702453613
DecisionTreeClassifier,0.7573529411764706,0.7573529411764706,0.7573529411764706,0.7571428571428571,1.7005102634429932
BaggingClassifier,0.7536764705882353,0.7536764705882353,0.7536764705882353,0.7527104959630911,6.151020765304565
PassiveAggressiveClassifier,0.7352941176470589,0.7352941176470589,0.7352941176470587,0.7350649350649351,0.14094328880310059
LogisticRegression,0.7205882352941176,0.7205882352941176,0.7205882352941176,0.7198460454274408,0.12296772003173828
RidgeClassifierCV,0.7205882352941176,0.7205882352941176,0.7205882352941176,0.7183958151700087,1.4981112480163574
CalibratedClassifierCV,0.7095588235294118,0.7095588235294118,0.7095588235294117,0.6989759466539652,4.113168239593506
Perceptron,0.6948529411764706,0.6948529411764706,0.6948529411764707,0.6943530590417394,0.07143306732177734
SGDClassifier,0.6875,0.6875,0.6875,0.6862745098039216,0.2321476936340332
RidgeClassifier,0.6838235294117647,0.6838235294117647,0.6838235294117647,0.6827256944444444,0.09151053428649902
LinearDiscriminantAnalysis,0.6801470588235294,0.6801470588235294,0.6801470588235294,0.6797964899936403,1.291041374206543
LinearSVC,0.6507352941176471,0.6507352941176471,0.6507352941176471,0.6505038209237843,4.294727802276611
GaussianNB,0.6360294117647058,0.6360294117647058,0.636029411764706,0.6342447333034514,0.04394102096557617
NearestCentroid,0.5992647058823529,0.5992647058823529,0.5992647058823529,0.5986082341632483,0.17876672744750977
BernoulliNB,0.5772058823529411,0.5772058823529411,0.5772058823529411,0.5772001676060716,0.05045032501220703
LabelSpreading,0.5330882352941176,0.5330882352941176,0.5330882352941176,0.41789259053300304,0.29552698135375977
LabelPropagation,0.5330882352941176,0.5330882352941176,0.5330882352941176,0.41789259053300304,0.11572694778442383
DummyClassifier,0.5,0.5,0.5,0.3333333333333333,0.03509688377380371
QuadraticDiscriminantAnalysis,0.5,0.5,0.5,0.3333333333333333,1.1978034973144531
