Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
SVC,0.6610169491525424,0.6426705370101596,0.6426705370101596,0.6482432241607365,0.26383543014526367
GaussianNB,0.652542372881356,0.6358490566037736,0.6358490566037736,0.6418777014919622,0.03763103485107422
RandomForestClassifier,0.6483050847457628,0.6276487663280117,0.6276487663280117,0.6315997972405979,1.4286115169525146
NearestCentroid,0.6313559322033898,0.624455732946299,0.624455732946299,0.6298944219684055,0.08037614822387695
LinearSVC,0.6228813559322034,0.6237300435413643,0.6237300435413643,0.6238525585201641,0.2976052761077881
BernoulliNB,0.6313559322033898,0.6227140783744558,0.6227140783744558,0.6287503628894118,0.05659794807434082
SGDClassifier,0.6313559322033898,0.6183599419448476,0.6183599419448476,0.6248651151128233,0.14714288711547852
ExtraTreesClassifier,0.635593220338983,0.6178519593613934,0.6178519593613934,0.6231690013672833,0.4143195152282715
LogisticRegression,0.614406779661017,0.6134252539912917,0.6134252539912918,0.6152349348258939,0.05213522911071777
NuSVC,0.6228813559322034,0.6115384615384616,0.6115384615384616,0.6180150836945796,0.31469249725341797
PassiveAggressiveClassifier,0.6101694915254238,0.6104499274310595,0.6104499274310595,0.6111528477630173,0.1064145565032959
AdaBoostClassifier,0.614406779661017,0.6064586357039188,0.6064586357039188,0.6123095909042517,3.7687292098999023
Perceptron,0.6016949152542372,0.6010159651669085,0.6010159651669086,0.602614522953506,0.0547337532043457
LGBMClassifier,0.6101694915254238,0.5973875181422351,0.5973875181422351,0.6037883373688459,0.5240533351898193
XGBClassifier,0.6059322033898306,0.5961538461538461,0.5961538461538461,0.6024432087799773,3.4440295696258545
RidgeClassifierCV,0.5847457627118644,0.5891146589259797,0.5891146589259796,0.5853423923631406,0.8292508125305176
BaggingClassifier,0.559322033898305,0.5608127721335268,0.5608127721335268,0.5604317345108355,4.561775207519531
LinearDiscriminantAnalysis,0.5550847457627118,0.5569666182873729,0.5569666182873729,0.5561647342428346,1.396252155303955
KNeighborsClassifier,0.5466101694915254,0.5492743105950653,0.5492743105950653,0.547579734604299,0.0628194808959961
CalibratedClassifierCV,0.5889830508474576,0.5485486211901306,0.5485486211901306,0.5064861239275822,0.7581272125244141
DecisionTreeClassifier,0.5466101694915254,0.5423076923076924,0.5423076923076924,0.5467991949252393,0.7730369567871094
QuadraticDiscriminantAnalysis,0.5127118644067796,0.515021770682148,0.515021770682148,0.5137539203691064,0.9947192668914795
RidgeClassifier,0.5,0.5017416545718433,0.5017416545718433,0.5011504170261719,0.06113028526306152
ExtraTreeClassifier,0.5127118644067796,0.5010885341074021,0.5010885341074021,0.50744996206581,0.034978628158569336
DummyClassifier,0.5508474576271186,0.5,0.5,0.3913124015930351,0.03207039833068848
LabelPropagation,0.4491525423728814,0.5,0.5,0.27842204381009017,0.13520240783691406
LabelSpreading,0.4491525423728814,0.5,0.5,0.27842204381009017,0.19723057746887207
