Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
AdaBoostClassifier,0.614406779661017,0.6038461538461539,0.6038461538461539,0.6102430134607714,3.0083200931549072
RandomForestClassifier,0.6101694915254238,0.5965166908563135,0.5965166908563135,0.6028065114101518,0.9079630374908447
ExtraTreesClassifier,0.597457627118644,0.5867198838896952,0.5867198838896952,0.5931108382282778,0.26735997200012207
LGBMClassifier,0.5847457627118644,0.5734397677793904,0.5734397677793904,0.5798329648734954,1.0066759586334229
XGBClassifier,0.5805084745762712,0.5695936139332366,0.5695936139332366,0.5759786629957843,1.1666760444641113
SGDClassifier,0.5847457627118644,0.5682148040638606,0.5682148040638606,0.5733363014820273,0.04800820350646973
LogisticRegression,0.5889830508474576,0.5659651669085631,0.565965166908563,0.5658584813450757,0.03387284278869629
BaggingClassifier,0.5508474576271186,0.5600870827285922,0.5600870827285922,0.5487806066987418,2.602487087249756
LinearSVC,0.576271186440678,0.5587808417997098,0.5587808417997098,0.5632654896243441,1.1436710357666016
ExtraTreeClassifier,0.559322033898305,0.555587808417997,0.5555878084179972,0.5596732225983788,0.021013975143432617
DecisionTreeClassifier,0.5466101694915254,0.5484034833091437,0.5484034833091437,0.5477107291807936,0.4321761131286621
LabelSpreading,0.538135593220339,0.5450653120464442,0.5450653120464442,0.537463784414888,0.03130483627319336
LabelPropagation,0.538135593220339,0.5450653120464442,0.5450653120464442,0.537463784414888,0.029807090759277344
RidgeClassifierCV,0.5635593220338984,0.5350507982583455,0.5350507982583455,0.5252146704160091,0.09282422065734863
PassiveAggressiveClassifier,0.5550847457627118,0.5308417997097242,0.5308417997097242,0.5279626909004995,0.046389102935791016
NuSVC,0.559322033898305,0.5294629898403483,0.5294629898403482,0.5165248353607803,0.2831077575683594
BernoulliNB,0.5211864406779662,0.517489114658926,0.517489114658926,0.5217323687249715,0.024475812911987305
NearestCentroid,0.4872881355932203,0.5067489114658925,0.5067489114658926,0.46962719437782396,0.021986007690429688
SVC,0.5423728813559322,0.5027576197387519,0.5027576197387518,0.4575364814646968,0.3261570930480957
DummyClassifier,0.5508474576271186,0.5,0.5,0.3913124015930351,0.018616676330566406
QuadraticDiscriminantAnalysis,0.5508474576271186,0.5,0.5,0.3913124015930351,0.08411097526550293
CalibratedClassifierCV,0.5508474576271186,0.5,0.5,0.3913124015930351,4.451169967651367
RidgeClassifier,0.5169491525423728,0.4970972423802612,0.49709724238026126,0.49874659442904945,0.033605098724365234
GaussianNB,0.5338983050847458,0.49593613933236574,0.4959361393323657,0.45637789013910657,0.021984100341796875
KNeighborsClassifier,0.5084745762711864,0.4911465892597968,0.4911465892597968,0.4949694997134201,0.022813081741333008
LinearDiscriminantAnalysis,0.5,0.48432510885341074,0.48432510885341074,0.48921186694635904,0.12089800834655762
Perceptron,0.5084745762711864,0.48243831640058055,0.48243831640058055,0.47484470882569263,0.04781603813171387
