Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
LabelSpreading,0.6542056074766355,0.6281716417910448,0.6281716417910447,0.653297755344366,0.015679121017456055
LabelPropagation,0.6542056074766355,0.6281716417910448,0.6281716417910447,0.653297755344366,0.01585102081298828
ExtraTreesClassifier,0.6261682242990654,0.6057835820895523,0.6057835820895522,0.627895089486154,0.12061500549316406
NearestCentroid,0.5327102803738317,0.601679104477612,0.601679104477612,0.5111685557102141,0.013778209686279297
SVC,0.5327102803738317,0.5966417910447761,0.5966417910447761,0.5154674217223719,0.07927989959716797
PassiveAggressiveClassifier,0.5514018691588785,0.596455223880597,0.596455223880597,0.5478726880596039,0.03952312469482422
GaussianNB,0.5233644859813084,0.5942164179104478,0.5942164179104478,0.4990519662046507,0.013859987258911133
RandomForestClassifier,0.5981308411214953,0.5884328358208956,0.5884328358208956,0.6032228568915189,0.32216978073120117
BernoulliNB,0.5887850467289719,0.5860074626865671,0.5860074626865671,0.5950490737949284,0.015450239181518555
Perceptron,0.5700934579439252,0.5811567164179104,0.5811567164179104,0.576772796874175,0.024155855178833008
LGBMClassifier,0.5794392523364486,0.5735074626865672,0.5735074626865672,0.5855633728866954,0.33269190788269043
AdaBoostClassifier,0.5607476635514018,0.5636194029850746,0.5636194029850746,0.5678518957769101,1.2856650352478027
BaggingClassifier,0.5794392523364486,0.5634328358208955,0.5634328358208955,0.5836582840047561,0.809959888458252
NuSVC,0.5327102803738317,0.5613805970149254,0.5613805970149254,0.5356512646232272,0.0561370849609375
QuadraticDiscriminantAnalysis,0.5981308411214953,0.5531716417910448,0.5531716417910448,0.5888386172982092,0.0357050895690918
LinearDiscriminantAnalysis,0.5233644859813084,0.5438432835820896,0.5438432835820896,0.5286265621020789,0.0440068244934082
LogisticRegression,0.4953271028037383,0.5416044776119403,0.5416044776119403,0.48825885494384663,0.022452116012573242
XGBClassifier,0.5514018691588785,0.541044776119403,0.5410447761194029,0.5575514827851276,0.5569181442260742
SGDClassifier,0.5700934579439252,0.5408582089552239,0.5408582089552239,0.5700934579439252,0.03702712059020996
DecisionTreeClassifier,0.5233644859813084,0.5388059701492537,0.5388059701492538,0.5297279992119488,0.1334080696105957
RidgeClassifierCV,0.48598130841121495,0.5341417910447761,0.5341417910447761,0.47706378445304626,0.030694961547851562
KNeighborsClassifier,0.4766355140186916,0.5014925373134328,0.5014925373134329,0.47992941637801456,0.013776779174804688
DummyClassifier,0.6261682242990654,0.5,0.5,0.4822215060693952,0.012089967727661133
LinearSVC,0.45794392523364486,0.49160447761194026,0.49160447761194026,0.45661814168250425,0.47818803787231445
RidgeClassifier,0.42990654205607476,0.4843283582089552,0.48432835820895526,0.4113203600630135,0.015791893005371094
CalibratedClassifierCV,0.5981308411214953,0.47761194029850745,0.47761194029850745,0.46871071760397875,1.7346580028533936
ExtraTreeClassifier,0.4766355140186916,0.4763059701492537,0.47630597014925374,0.48507987008682973,0.013379096984863281
