Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
LGBMClassifier,0.7658536585365854,0.7626469275405445,0.7626469275405446,0.7651671700533467,1.690368890762329
XGBClassifier,0.7544715447154472,0.7520086296682041,0.752008629668204,0.7540829478460968,1.9832849502563477
NuSVC,0.7528455284552845,0.7502603779199524,0.7502603779199524,0.7524107684573648,2.336621046066284
SVC,0.7528455284552845,0.7495748931919145,0.7495748931919145,0.752120901722977,1.9978911876678467
RandomForestClassifier,0.7284552845528456,0.7283780049737496,0.7283780049737497,0.7287086872210182,3.8828842639923096
ExtraTreesClassifier,0.7203252032520325,0.7203222309605288,0.7203222309605287,0.7206009757200927,0.5292139053344727
BaggingClassifier,0.7121951219512195,0.7143229111314218,0.7143229111314218,0.712478297817328,16.105149030685425
KNeighborsClassifier,0.71869918699187,0.7112621421132059,0.7112621421132059,0.7148205321715665,0.05295896530151367
AdaBoostClassifier,0.7154471544715447,0.7091366080727783,0.7091366080727783,0.7126095219704075,8.285871028900146
BernoulliNB,0.6959349593495935,0.699582332561056,0.699582332561056,0.6958626052136293,0.05910491943359375
RidgeClassifierCV,0.6861788617886179,0.6783535613322847,0.6783535613322847,0.6815901488966248,0.3426642417907715
NearestCentroid,0.6764227642276422,0.6756328777605374,0.6756328777605374,0.6766390953229272,0.055504798889160156
LinearDiscriminantAnalysis,0.6796747967479675,0.6722745339766616,0.6722745339766617,0.675517555941148,0.2701139450073242
RidgeClassifier,0.6796747967479675,0.6722745339766616,0.6722745339766617,0.675517555941148,0.0699770450592041
GaussianNB,0.6747967479674797,0.6720566667375178,0.6720566667375178,0.67433763667873,0.048052072525024414
ExtraTreeClassifier,0.6747967479674797,0.6713711820094799,0.6713711820094799,0.6739775437376089,0.04488706588745117
PassiveAggressiveClassifier,0.6747967479674797,0.670914192190788,0.670914192190788,0.6737018928480935,0.2660648822784424
DecisionTreeClassifier,0.6699186991869919,0.6668119114927626,0.6668119114927625,0.6692780534016133,1.7019872665405273
Perceptron,0.6650406504065041,0.6617956511573533,0.6617956511573533,0.6643278112888655,0.16060900688171387
LogisticRegression,0.6552845528455284,0.6510776457584968,0.6510776457584968,0.6539665231946437,0.19067716598510742
SGDClassifier,0.6504065040650406,0.6481178396072014,0.6481178396072014,0.650183312386405,0.3181421756744385
CalibratedClassifierCV,0.6601626016260163,0.6455831402639913,0.6455831402639913,0.643234543227658,42.02637982368469
QuadraticDiscriminantAnalysis,0.6487804878048781,0.6248910663804281,0.6248910663804281,0.5986389884019564,0.37532496452331543
LinearSVC,0.6276422764227643,0.6238708100410228,0.6238708100410228,0.6266284495877992,11.858360052108765
LabelPropagation,0.49105691056910566,0.5234021297851085,0.5234021297851085,0.35968695480172086,0.10286211967468262
LabelSpreading,0.49105691056910566,0.5234021297851085,0.5234021297851085,0.35968695480172086,0.12397289276123047
DummyClassifier,0.5349593495934959,0.5,0.5,0.3728848008819072,0.03821969032287598
