Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
RandomForestClassifier,0.7405247813411079,0.7405384248859845,0.7405384248859845,0.7405777422225793,1.4729909896850586
XGBClassifier,0.7376093294460642,0.7388367027431761,0.738836702743176,0.7374308688118031,1.550152063369751
AdaBoostClassifier,0.7142857142857143,0.7171737798652236,0.7171737798652236,0.712378024980484,5.210942983627319
NuSVC,0.7084548104956269,0.7130215778367708,0.7130215778367708,0.7030949323911211,0.5045497417449951
LGBMClassifier,0.7055393586005831,0.7066401198012389,0.7066401198012388,0.7053891657254209,1.462033748626709
ExtraTreesClassifier,0.7055393586005831,0.7055169831869852,0.7055169831869852,0.7055994602750618,0.341141939163208
SVC,0.6967930029154519,0.7026580899870669,0.7026580899870669,0.6871908131522529,0.4574272632598877
DecisionTreeClassifier,0.6997084548104956,0.7009904022871145,0.7009904022871145,0.699448026646863,0.7375843524932861
LabelPropagation,0.7026239067055393,0.7008202300728337,0.7008202300728337,0.7015251513830693,0.052163124084472656
LabelSpreading,0.7026239067055393,0.7008202300728337,0.7008202300728337,0.7015251513830693,0.05742597579956055
GaussianNB,0.6880466472303207,0.6958682186372609,0.695868218637261,0.6696093516495003,0.03487896919250488
LogisticRegression,0.6822157434402333,0.685913144101831,0.685913144101831,0.6784663660595152,0.04980206489562988
NearestCentroid,0.673469387755102,0.6802464093662787,0.6802464093662787,0.6592478718105946,0.030476093292236328
BaggingClassifier,0.6763848396501457,0.6752093118235654,0.6752093118235655,0.6758880274908696,4.115570068359375
BernoulliNB,0.673469387755102,0.6723844530665033,0.6723844530665033,0.6730462186921015,0.03425407409667969
LinearSVC,0.6647230320699709,0.6685896126880403,0.6685896126880403,0.6603195592352689,7.848062992095947
RidgeClassifierCV,0.6501457725947521,0.6570859710026546,0.6570859710026546,0.6339886659102362,0.1891031265258789
QuadraticDiscriminantAnalysis,0.6618075801749271,0.6565924715812402,0.6565924715812402,0.6520616409829237,0.15059614181518555
CalibratedClassifierCV,0.6472303206997084,0.655758627731264,0.655758627731264,0.6217757074708754,29.978760957717896
Perceptron,0.6530612244897959,0.6554182833027022,0.6554182833027025,0.6515176315572041,0.06370925903320312
RidgeClassifier,0.6443148688046647,0.6508746851814036,0.6508746851814036,0.6297282741386492,0.04516720771789551
PassiveAggressiveClassifier,0.6443148688046647,0.6493771696957321,0.6493771696957321,0.6359157206095981,0.10208296775817871
KNeighborsClassifier,0.641399416909621,0.6478626369886324,0.6478626369886324,0.6271379500226911,0.033664703369140625
SGDClassifier,0.6326530612244898,0.6319004832890885,0.6319004832890885,0.6324653584011612,0.10300064086914062
ExtraTreeClassifier,0.6268221574344023,0.6264379552106731,0.6264379552106731,0.6268221574344023,0.029169797897338867
LinearDiscriminantAnalysis,0.6180758017492711,0.6248893880607174,0.6248893880607174,0.6009437743909154,0.18012785911560059
DummyClassifier,0.4839650145772595,0.5,0.5,0.3156706971309433,0.025216102600097656
