Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
ExtraTreesClassifier,0.5889212827988338,0.5913994962902458,0.5913994962902458,0.5867475431109497,0.45293116569519043
AdaBoostClassifier,0.5830903790087464,0.5874344836975018,0.587434483697502,0.5757616159274431,4.631076097488403
LGBMClassifier,0.5830903790087464,0.5857497787761214,0.5857497787761213,0.5805070445245604,1.3498258590698242
RandomForestClassifier,0.5801749271137027,0.5827377305833503,0.5827377305833503,0.5777679032844453,1.4673192501068115
XGBClassifier,0.5539358600583091,0.5576883806412088,0.5576883806412088,0.5480773266347488,1.8951680660247803
BaggingClassifier,0.5510204081632653,0.5501837859914234,0.5501837859914233,0.5507909936014193,3.9706151485443115
LabelPropagation,0.5451895043731778,0.5458443945272616,0.5458443945272615,0.5451431140737463,0.05130505561828613
LinearSVC,0.5393586005830904,0.5456231706486965,0.5456231706486965,0.5216005689645324,10.72347092628479
Perceptron,0.5393586005830904,0.5437512762916071,0.5437512762916071,0.5308899931779713,0.06507611274719238
LabelSpreading,0.5393586005830904,0.5400074875774283,0.5400074875774283,0.5393116155362302,0.058789968490600586
SVC,0.521865889212828,0.5359744060989722,0.5359744060989722,0.40993310247241327,0.4873831272125244
BernoulliNB,0.5364431486880467,0.5349363555918589,0.534936355591859,0.5354856890540476,0.037036895751953125
DecisionTreeClassifier,0.5335276967930029,0.5349193383704309,0.5349193383704309,0.5328135142384195,0.7427401542663574
PassiveAggressiveClassifier,0.5247813411078717,0.5335579606561841,0.5335579606561841,0.48711149027061934,0.08351373672485352
NuSVC,0.5247813411078717,0.5333707712204752,0.5333707712204752,0.48882518524383045,0.535067081451416
NearestCentroid,0.5306122448979592,0.522360628956504,0.522360628956504,0.49695667740780525,0.03000783920288086
LogisticRegression,0.5131195335276968,0.5200122523994283,0.5200122523994282,0.48997844203564456,0.04284501075744629
RidgeClassifierCV,0.5102040816326531,0.5188720985637465,0.5188720985637465,0.4722680351210251,0.1690530776977539
KNeighborsClassifier,0.5043731778425656,0.5085426451568987,0.5085426451568987,0.4960507034762887,0.03196978569030762
CalibratedClassifierCV,0.49271137026239065,0.5082873868354775,0.5082873868354775,0.3395647112848279,30.946766138076782
RidgeClassifier,0.5014577259475219,0.5081512490640528,0.5081512490640528,0.4790945451973017,0.0419309139251709
ExtraTreeClassifier,0.5043731778425656,0.5066707507998094,0.5066707507998094,0.5019645146491466,0.03272604942321777
QuadraticDiscriminantAnalysis,0.4839650145772595,0.5,0.5,0.3156706971309433,0.1374950408935547
DummyClassifier,0.4839650145772595,0.5,0.5,0.3156706971309433,0.027423858642578125
SGDClassifier,0.49271137026239065,0.497804778435777,0.497804778435777,0.4797703337894924,0.05978989601135254
LinearDiscriminantAnalysis,0.48104956268221577,0.48687972227894627,0.48687972227894627,0.4634669412220433,0.18233609199523926
GaussianNB,0.4956268221574344,0.48340820910761695,0.4834082091076169,0.40915093112717194,0.03484487533569336
