Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
LGBMClassifier,0.8308333333333333,0.830342459664874,0.8303424596648741,0.8298562635033223,1.774078130722046
XGBClassifier,0.83,0.8295035334903773,0.8295035334903773,0.828996242619431,4.045668840408325
SVC,0.8033333333333333,0.8028134583759278,0.8028134583759278,0.8020680652680653,11.302958011627197
RandomForestClassifier,0.7991666666666667,0.7987966131828081,0.798796613182808,0.7985024348207127,15.89497995376587
NuSVC,0.7966666666666666,0.7961464953997955,0.7961464953997955,0.7953585081585082,12.925007343292236
AdaBoostClassifier,0.7791666666666667,0.7788290590692919,0.7788290590692919,0.7785585527848039,19.793211460113525
LinearDiscriminantAnalysis,0.7758333333333334,0.775351126716743,0.775351126716743,0.7745953158938653,8.909719228744507
RidgeClassifier,0.7758333333333334,0.775351126716743,0.775351126716743,0.7745953158938653,0.3855462074279785
RidgeClassifierCV,0.7758333333333334,0.775351126716743,0.775351126716743,0.7745953158938653,9.915010690689087
ExtraTreesClassifier,0.7733333333333333,0.7730010222676564,0.7730010222676564,0.7727289495167325,2.513930082321167
BaggingClassifier,0.7641666666666667,0.7635394906440287,0.7635394906440287,0.7619819021175135,65.54622268676758
SGDClassifier,0.7541666666666667,0.7540390684030401,0.7540390684030401,0.754062638897671,0.7247819900512695
LogisticRegression,0.7491666666666666,0.7490721809858216,0.7490721809858216,0.749106549095698,3.7298319339752197
BernoulliNB,0.7491666666666666,0.7487054980221344,0.7487054980221344,0.7479039866748506,0.24865055084228516
NearestCentroid,0.7491666666666666,0.7485832703675719,0.7485832703675719,0.7471579675823486,0.3517181873321533
CalibratedClassifierCV,0.7466666666666667,0.7463776167829681,0.7463776167829681,0.7461552868413897,15.605283260345459
LinearSVC,0.745,0.7448997733232589,0.7448997733232587,0.7449319727891157,2.0657894611358643
GaussianNB,0.735,0.7343437486110493,0.7343437486110493,0.7323243747122047,0.1888735294342041
PassiveAggressiveClassifier,0.7241666666666666,0.7240377350104449,0.7240377350104448,0.7240499439834885,0.3833580017089844
Perceptron,0.7183333333333334,0.7184652651228944,0.7184652651228944,0.7182417710651563,0.38097429275512695
DecisionTreeClassifier,0.6816666666666666,0.6816080714698431,0.681608071469843,0.6816383653390232,9.409485101699829
ExtraTreeClassifier,0.6141666666666666,0.6142217431885861,0.6142217431885861,0.6141492502763358,0.16417622566223145
QuadraticDiscriminantAnalysis,0.6083333333333333,0.6102493444153073,0.6102493444153074,0.5733423940400684,16.75402545928955
KNeighborsClassifier,0.6108333333333333,0.6085659362638339,0.608565936263834,0.5595552705634782,0.2095344066619873
DummyClassifier,0.5033333333333333,0.5,0.5,0.3370436067997044,0.1333770751953125
LabelPropagation,0.5033333333333333,0.5,0.5,0.3370436067997044,1.5015809535980225
LabelSpreading,0.5033333333333333,0.5,0.5,0.3370436067997044,1.6639599800109863
