Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
LGBMClassifier,0.9771071800208116,0.97627550294511,0.9762755029451099,0.9771373904870598,1.3552093505859375
XGBClassifier,0.9719042663891779,0.9689008716766734,0.9689008716766733,0.9718947996437971,2.492002487182617
SVC,0.9042663891779397,0.9126236614214305,0.9126236614214306,0.9055879301970563,3.9745075702667236
BaggingClassifier,0.9115504682622269,0.9028161132136319,0.9028161132136319,0.9115206655452869,28.929850101470947
Perceptron,0.8782518210197711,0.8885007920022006,0.8885007920022006,0.8802212018465887,0.3842582702636719
LogisticRegression,0.890738813735692,0.8840546718644775,0.8840546718644775,0.8911236227190591,4.977233171463013
AdaBoostClassifier,0.8886576482830385,0.8824469548226769,0.8824469548226768,0.8891170910366579,23.21824598312378
PassiveAggressiveClassifier,0.8730489073881373,0.8797840252681899,0.8797840252681899,0.8748996150658247,0.5829558372497559
RandomForestClassifier,0.8938605619146722,0.8790845023665216,0.8790845023665217,0.8933322230621731,8.30138087272644
DecisionTreeClassifier,0.8886576482830385,0.8770784129603809,0.8770784129603809,0.8885441530942618,5.342185974121094
KNeighborsClassifier,0.890738813735692,0.8719754526743115,0.8719754526743115,0.8897235430818085,0.14954519271850586
BernoulliNB,0.8366285119667014,0.8717810090202885,0.8717810090202885,0.8402222999380551,0.13865113258361816
ExtraTreesClassifier,0.8844953173777316,0.8705076402128447,0.8705076402128447,0.8841332013370288,1.1345529556274414
NearestCentroid,0.8303850156087409,0.8689710610932475,0.8689710610932475,0.8340343308205698,0.27833127975463867
RidgeClassifierCV,0.841831425598335,0.8650632179001982,0.8650632179001982,0.8452363551532005,10.30200982093811
CalibratedClassifierCV,0.8647242455775234,0.8646292765747565,0.8646292765747564,0.8661827552564025,41.48315191268921
RidgeClassifier,0.8376690946930281,0.861847783816597,0.8618477838165969,0.8411953658426559,0.5991618633270264
LinearDiscriminantAnalysis,0.8366285119667014,0.8610439252956966,0.8610439252956966,0.8401844667532151,11.547279596328735
SGDClassifier,0.886576482830385,0.8546675962021835,0.8546675962021835,0.8835006051893363,0.7870557308197021
LinearSVC,0.850156087408949,0.843980309023134,0.843980309023134,0.8512436472621389,13.526336908340454
NuSVC,0.8366285119667014,0.8409118933120867,0.8409118933120868,0.8391007509854718,6.561356067657471
GaussianNB,0.8189386056191468,0.8406676531125212,0.8406676531125212,0.8228548584238096,0.13020682334899902
ExtraTreeClassifier,0.8355879292403746,0.8199760028075767,0.8199760028075767,0.8355879292403746,0.11187243461608887
QuadraticDiscriminantAnalysis,0.7513007284079084,0.6474926253687315,0.6474926253687316,0.7036425711521977,9.380164623260498
DummyClassifier,0.6472424557752341,0.5,0.5,0.5086352589920349,0.09697508811950684
LabelPropagation,0.33610822060353795,0.45492701249181916,0.4549270124918191,0.22729055654287228,1.1174185276031494
LabelSpreading,0.33610822060353795,0.45492701249181916,0.4549270124918191,0.22729055654287228,1.201979160308838
